,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,RUSSIA,KALININ-4,PWR,Operational,2011,131.22,433.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=496
1,RUSSIA,KALININ-4,PWR,Operational,2012,5166.49,6858.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=496
2,RUSSIA,KALININ-4,PWR,Operational,2013,6342.91,6662.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=496
3,RUSSIA,KALININ-4,PWR,Operational,2014,7249.38,7691.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=496
4,RUSSIA,KALININ-4,PWR,Operational,2015,8086.65,8346.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=496
5,RUSSIA,KALININ-4,PWR,Operational,2016,6704.2,7255.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=496
6,RUSSIA,KALININ-4,PWR,Operational,2017,7535.97,7490.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=496
7,RUSSIA,KALININ-4,PWR,Operational,2018,8736.46,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=496
8,RUSSIA,KALININ-4,PWR,Operational,2019,7668.87,7745.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=496
9,RUSSIA,KALININ-4,PWR,Operational,2020,7553.71,7638.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=496
10,RUSSIA,KALININ-4,PWR,Operational,2021,8673.29,8657.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=496
11,RUSSIA,KALININ-4,PWR,Operational,2022,7923.02,7987.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=496
12,RUSSIA,KALININ-4,PWR,Operational,2023,8076.94,8100.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=496
13,RUSSIA,KALININ-4,PWR,Operational,2024,8675.88,8764.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=496
