,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1971,3.0,102.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
1,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1972,232.7,3737.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
2,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1973,394.8,6197.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
3,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1974,583.9,6749.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
4,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1975,494.9,6375.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
5,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1976,487.3,6026.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
6,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1977,339.4,5290.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
7,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1978,228.4,4473.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
8,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1979,29.6,802.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
9,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1980,67.9,2427.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
10,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1981,192.2,5379.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
11,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1982,70.9,1801.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
12,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1983,194.0,4754.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
13,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1984,290.65,5592.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
14,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1985,261.96,3895.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
15,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1986,476.22,7211.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
16,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1987,274.77,4541.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
17,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1988,171.41,2962.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
18,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1989,60.86,1145.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
19,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1990,375.91,5331.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
20,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1991,370.3,6126.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
21,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1992,499.74,6396.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
22,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1993,369.6,4620.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
23,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1994,523.64,7518.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
24,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1995,461.04,7520.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
25,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1996,310.86,5291.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
26,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1997,386.12,6391.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
27,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1998,353.35,4799.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
28,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,1999,68.99,1046.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
29,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,2000,368.31,5078.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
30,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,2001,399.46,6049.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
31,PAKISTAN,KANUPP-1,PHWR,Permanent Shutdown,2002,444.02,6601.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=427
