,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,1992,53.03,367.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
1,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,1993,6488.42,6755.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
2,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,1994,7264.43,6961.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
3,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,1995,9253.86,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
4,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,1996,7921.58,7508.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
5,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,1997,8016.22,7601.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
6,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,1998,6748.02,6467.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
7,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,1999,9028.26,8568.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
8,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2000,7945.09,7539.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
9,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2001,6985.69,6639.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
10,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2002,5575.54,5300.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
11,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2003,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
12,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2004,6549.98,6093.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
13,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2005,6061.72,5772.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
14,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2006,7331.42,6924.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
15,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2007,5054.1,4714.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
16,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2008,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
17,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2009,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
18,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2010,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
19,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2011,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
20,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2012,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
21,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2013,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
22,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2014,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
23,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2015,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
24,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2016,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
25,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2017,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
26,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2018,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
27,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2019,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
28,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2020,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
29,JAPAN,KASHIWAZAKI KARIWA-3,BWR,Suspended Operation,2021,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=380
