,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1974,1929.6,4669.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
1,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1975,3340.1,7730.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
2,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1976,3382.5,6924.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
3,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1977,3546.6,6985.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
4,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1978,3890.6,7835.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
5,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1979,3439.2,6921.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
6,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1980,3631.2,7207.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
7,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1981,3769.2,7596.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
8,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1982,3824.9,7669.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
9,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1983,3706.9,7334.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
10,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1984,3810.0,7527.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
11,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1985,3699.18,7213.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
12,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1986,3854.67,7514.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
13,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1987,4008.62,7809.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
14,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1988,3914.83,7679.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
15,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1989,3741.81,7390.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
16,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1990,3900.84,7668.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
17,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1991,3674.83,7247.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
18,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1992,3938.08,7682.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
19,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1993,3816.91,7548.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
20,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1994,3961.55,7738.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
21,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1995,3793.42,7645.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
22,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1996,3171.08,6299.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
23,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1997,2363.8,4866.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
24,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1998,3705.38,7584.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
25,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,1999,4424.66,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
26,UNITED STATES OF AMERICA,KEWAUNEE,PWR,Permanent Shutdown,2000,3799.93,7760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=647
