,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UKRAINE,KHMELNITSKI-1,PWR,Operational,1987,46.8,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
1,UKRAINE,KHMELNITSKI-1,PWR,Operational,1988,3578.19,5266.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
2,UKRAINE,KHMELNITSKI-1,PWR,Operational,1989,5872.26,6295.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
3,UKRAINE,KHMELNITSKI-1,PWR,Operational,1990,6498.57,6870.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
4,UKRAINE,KHMELNITSKI-1,PWR,Operational,1991,5172.49,5551.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
5,UKRAINE,KHMELNITSKI-1,PWR,Operational,1992,6075.13,6167.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
6,UKRAINE,KHMELNITSKI-1,PWR,Operational,1993,5487.72,5782.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
7,UKRAINE,KHMELNITSKI-1,PWR,Operational,1994,6303.41,6775.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
8,UKRAINE,KHMELNITSKI-1,PWR,Operational,1995,5700.26,6014.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
9,UKRAINE,KHMELNITSKI-1,PWR,Operational,1996,4497.91,4854.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
10,UKRAINE,KHMELNITSKI-1,PWR,Operational,1997,6152.1,6415.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
11,UKRAINE,KHMELNITSKI-1,PWR,Operational,1998,5499.2,5904.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
12,UKRAINE,KHMELNITSKI-1,PWR,Operational,1999,5526.69,6506.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
13,UKRAINE,KHMELNITSKI-1,PWR,Operational,2000,5899.61,6541.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
14,UKRAINE,KHMELNITSKI-1,PWR,Operational,2001,6167.28,6781.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
15,UKRAINE,KHMELNITSKI-1,PWR,Operational,2002,6730.45,7049.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
16,UKRAINE,KHMELNITSKI-1,PWR,Operational,2003,7137.7,7512.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
17,UKRAINE,KHMELNITSKI-1,PWR,Operational,2004,6325.09,6935.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
18,UKRAINE,KHMELNITSKI-1,PWR,Operational,2005,6862.81,7433.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
19,UKRAINE,KHMELNITSKI-1,PWR,Operational,2006,6684.91,7407.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
20,UKRAINE,KHMELNITSKI-1,PWR,Operational,2007,6905.26,7297.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
21,UKRAINE,KHMELNITSKI-1,PWR,Operational,2008,6547.17,7237.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
22,UKRAINE,KHMELNITSKI-1,PWR,Operational,2009,6380.56,7031.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
23,UKRAINE,KHMELNITSKI-1,PWR,Operational,2010,6587.15,6966.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
24,UKRAINE,KHMELNITSKI-1,PWR,Operational,2011,6967.34,7253.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=573
