,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,GERMANY,KNK II,FBR,Permanent Shutdown,1978,6.3,1903.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=135
1,GERMANY,KNK II,FBR,Permanent Shutdown,1979,26.2,1980.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=135
2,GERMANY,KNK II,FBR,Permanent Shutdown,1980,33.3,2625.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=135
3,GERMANY,KNK II,FBR,Permanent Shutdown,1981,35.0,3510.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=135
4,GERMANY,KNK II,FBR,Permanent Shutdown,1982,29.0,3475.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=135
5,GERMANY,KNK II,FBR,Permanent Shutdown,1983,17.0,1707.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=135
6,GERMANY,KNK II,FBR,Permanent Shutdown,1984,52.76,4177.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=135
7,GERMANY,KNK II,FBR,Permanent Shutdown,1985,54.11,3966.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=135
8,GERMANY,KNK II,FBR,Permanent Shutdown,1986,13.36,1139.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=135
9,GERMANY,KNK II,FBR,Permanent Shutdown,1987,14.04,1795.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=135
10,GERMANY,KNK II,FBR,Permanent Shutdown,1988,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=135
11,GERMANY,KNK II,FBR,Permanent Shutdown,1989,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=135
12,GERMANY,KNK II,FBR,Permanent Shutdown,1990,33.8,4215.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=135
13,GERMANY,KNK II,FBR,Permanent Shutdown,1991,7.77,1034.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=135
