,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,SOUTH AFRICA,KOEBERG-1,PWR,Operational,1984,3949.53,5063.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
1,SOUTH AFRICA,KOEBERG-1,PWR,Operational,1985,4004.3,4986.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
2,SOUTH AFRICA,KOEBERG-1,PWR,Operational,1986,3418.99,4575.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
3,SOUTH AFRICA,KOEBERG-1,PWR,Operational,1987,2864.54,4337.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
4,SOUTH AFRICA,KOEBERG-1,PWR,Operational,1988,5964.44,6791.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
5,SOUTH AFRICA,KOEBERG-1,PWR,Operational,1989,4498.08,5655.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
6,SOUTH AFRICA,KOEBERG-1,PWR,Operational,1990,3852.07,5360.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
7,SOUTH AFRICA,KOEBERG-1,PWR,Operational,1991,5976.84,6886.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
8,SOUTH AFRICA,KOEBERG-1,PWR,Operational,1992,3992.53,5697.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
9,SOUTH AFRICA,KOEBERG-1,PWR,Operational,1993,4097.94,6010.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
10,SOUTH AFRICA,KOEBERG-1,PWR,Operational,1994,5933.92,8422.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
11,SOUTH AFRICA,KOEBERG-1,PWR,Operational,1995,4576.86,5853.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
12,SOUTH AFRICA,KOEBERG-1,PWR,Operational,1996,5672.79,7260.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
13,SOUTH AFRICA,KOEBERG-1,PWR,Operational,1997,6610.69,7676.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
14,SOUTH AFRICA,KOEBERG-1,PWR,Operational,1998,7248.29,8552.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
15,SOUTH AFRICA,KOEBERG-1,PWR,Operational,1999,7051.7,7848.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
16,SOUTH AFRICA,KOEBERG-1,PWR,Operational,2000,5629.15,7250.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
17,SOUTH AFRICA,KOEBERG-1,PWR,Operational,2001,6042.5,7303.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
18,SOUTH AFRICA,KOEBERG-1,PWR,Operational,2002,7328.6,8417.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
19,SOUTH AFRICA,KOEBERG-1,PWR,Operational,2003,6413.36,7398.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
20,SOUTH AFRICA,KOEBERG-1,PWR,Operational,2004,6388.0,7358.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
21,SOUTH AFRICA,KOEBERG-1,PWR,Operational,2005,5821.02,6726.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
22,SOUTH AFRICA,KOEBERG-1,PWR,Operational,2006,4682.78,5435.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
23,SOUTH AFRICA,KOEBERG-1,PWR,Operational,2007,5747.01,6609.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
24,SOUTH AFRICA,KOEBERG-1,PWR,Operational,2008,7691.88,8689.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
25,SOUTH AFRICA,KOEBERG-1,PWR,Operational,2009,5467.97,6307.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
26,SOUTH AFRICA,KOEBERG-1,PWR,Operational,2010,5291.74,6085.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
27,SOUTH AFRICA,KOEBERG-1,PWR,Operational,2011,7622.37,8315.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
28,SOUTH AFRICA,KOEBERG-1,PWR,Operational,2012,6384.83,6975.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
29,SOUTH AFRICA,KOEBERG-1,PWR,Operational,2013,5527.64,6084.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
30,SOUTH AFRICA,KOEBERG-1,PWR,Operational,2014,8102.87,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
31,SOUTH AFRICA,KOEBERG-1,PWR,Operational,2015,5321.75,5860.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
32,SOUTH AFRICA,KOEBERG-1,PWR,Operational,2016,7051.38,7759.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
33,SOUTH AFRICA,KOEBERG-1,PWR,Operational,2017,8103.47,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=836
