,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,RUSSIA,KOLA-3,PWR,Operational,1981,909.6,4957.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
1,RUSSIA,KOLA-3,PWR,Operational,1982,1891.17,7252.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
2,RUSSIA,KOLA-3,PWR,Operational,1983,2459.86,6818.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
3,RUSSIA,KOLA-3,PWR,Operational,1984,2830.67,7610.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
4,RUSSIA,KOLA-3,PWR,Operational,1985,2972.56,7814.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
5,RUSSIA,KOLA-3,PWR,Operational,1986,2627.25,7244.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
6,RUSSIA,KOLA-3,PWR,Operational,1987,2837.81,7024.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
7,RUSSIA,KOLA-3,PWR,Operational,1988,2933.19,7913.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
8,RUSSIA,KOLA-3,PWR,Operational,1989,3186.68,8047.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
9,RUSSIA,KOLA-3,PWR,Operational,1990,3256.91,8022.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
10,RUSSIA,KOLA-3,PWR,Operational,1991,2935.21,7188.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
11,RUSSIA,KOLA-3,PWR,Operational,1992,2806.37,7396.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
12,RUSSIA,KOLA-3,PWR,Operational,1993,2548.0,6833.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
13,RUSSIA,KOLA-3,PWR,Operational,1994,2466.01,6373.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
14,RUSSIA,KOLA-3,PWR,Operational,1995,2526.12,7083.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
15,RUSSIA,KOLA-3,PWR,Operational,1996,2327.31,6928.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
16,RUSSIA,KOLA-3,PWR,Operational,1997,2340.5,7114.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
17,RUSSIA,KOLA-3,PWR,Operational,1998,2006.34,6705.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
18,RUSSIA,KOLA-3,PWR,Operational,1999,2140.57,7040.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
19,RUSSIA,KOLA-3,PWR,Operational,2000,2244.74,7731.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
20,RUSSIA,KOLA-3,PWR,Operational,2001,2543.29,7057.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
21,RUSSIA,KOLA-3,PWR,Operational,2002,2742.35,7909.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
22,RUSSIA,KOLA-3,PWR,Operational,2003,2740.72,7335.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
23,RUSSIA,KOLA-3,PWR,Operational,2004,2816.85,7688.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
24,RUSSIA,KOLA-3,PWR,Operational,2005,2059.39,7672.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=491
