,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,1986,5611.72,6529.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
2,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,1987,5804.81,6665.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
3,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,1988,6119.71,7005.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
4,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,1989,6591.97,7206.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
5,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,1990,6838.13,7923.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
6,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,1991,5902.46,6578.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
7,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,1992,6746.17,7349.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
8,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,1993,7121.81,7721.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
9,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,1994,6545.31,7128.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
10,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,1995,6015.47,6863.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
11,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,1996,7939.72,8431.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
12,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,1997,6051.91,6503.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
13,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,1998,6902.53,7325.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
14,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,1999,7231.82,7615.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
15,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2000,8094.33,8399.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
16,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2001,7570.25,7881.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
17,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2002,7684.8,8062.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
18,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2003,8387.43,8689.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
19,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2004,7312.46,7630.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
20,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2005,7562.17,7885.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
21,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2006,7461.77,7813.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
22,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2007,8214.16,8503.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
23,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2008,7564.39,7854.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
24,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2009,7599.62,7820.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
25,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2010,8799.7,8732.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
26,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2011,8025.13,7971.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
27,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2012,6933.06,6875.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
28,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2013,8861.52,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
29,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2014,7384.18,7332.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
30,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2015,7155.51,7119.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
31,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2016,8860.96,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
32,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2017,432.36,442.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
33,"KOREA, REPUBLIC OF",KORI-3,PWR,Operational,2018,5606.18,5610.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=409
