,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1975,296.9,1256.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
1,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1976,2529.7,7310.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
2,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1977,2850.6,7397.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
3,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1978,3112.38,7913.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
4,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1979,2927.9,8050.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
5,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1980,2852.8,7266.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
6,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1981,2699.6,7154.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
7,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1982,2789.2,7859.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
8,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1983,2946.9,8026.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
9,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1984,2653.17,7465.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
10,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1985,2939.6,7836.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
11,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1986,2776.86,7511.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
12,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1987,2634.48,7439.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
13,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1988,1964.86,6617.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
14,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1989,2694.61,7959.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
15,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1990,2430.3,7158.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
16,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1991,2546.56,7515.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
17,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1992,4.13,101.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
18,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1993,2314.94,8577.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
19,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1994,1697.66,5431.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
20,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1995,1344.97,4893.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
21,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1996,2070.4,8680.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
22,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1997,1431.53,5404.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
23,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1998,1929.24,6706.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
24,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,1999,1842.11,8454.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
25,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,2000,1574.05,5549.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
26,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,2001,2536.36,6816.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
27,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,2002,2426.86,6794.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
