,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,SLOVENIA,KRSKO,PWR,Operational,1981,263.0,1165.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=542
1,SLOVENIA,KRSKO,PWR,Operational,1982,2387.8,5104.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=542
2,SLOVENIA,KRSKO,PWR,Operational,1983,3724.1,6255.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=542
3,SLOVENIA,KRSKO,PWR,Operational,1984,4207.6,7073.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=542
4,SLOVENIA,KRSKO,PWR,Operational,1985,3845.27,6421.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=542
5,SLOVENIA,KRSKO,PWR,Operational,1986,3821.99,6561.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=542
6,SLOVENIA,KRSKO,PWR,Operational,1987,4278.82,7287.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=542
7,SLOVENIA,KRSKO,PWR,Operational,1988,3935.75,6866.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=542
8,SLOVENIA,KRSKO,PWR,Operational,1989,4453.95,7500.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=542
9,SLOVENIA,KRSKO,PWR,Operational,1990,4386.77,7592.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=542
10,SLOVENIA,KRSKO,PWR,Operational,1991,4718.22,8133.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=542
11,SLOVENIA,KRSKO,PWR,Operational,1992,3767.25,6699.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=542
12,SLOVENIA,KRSKO,PWR,Operational,1993,3762.77,6493.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=542
