,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,1983,944.0,1652.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
1,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,1984,9672.0,8112.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
2,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,1985,9301.89,7551.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
3,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,1986,9488.32,7780.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
4,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,1987,9180.23,7822.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
5,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,1988,9219.17,8018.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
6,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,1989,8241.57,7247.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
7,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,1990,8830.15,7507.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
8,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,1991,7737.57,6946.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
9,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,1992,8324.99,7188.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
10,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,1993,6558.5,5399.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
11,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,1994,2479.82,2091.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
12,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,1995,9217.93,7824.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
13,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,1996,8242.34,6868.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
14,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,1997,9250.61,7492.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
15,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,1998,4611.08,3878.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
16,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,1999,10517.1,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
17,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,2000,9022.89,7975.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
18,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,2001,8141.91,6591.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
19,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,2002,8483.92,7069.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
20,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,2003,9488.52,7809.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
21,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,2004,9626.67,7825.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
22,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,2005,9243.37,7328.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
23,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,2006,10177.78,7941.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
24,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,2007,5454.86,4151.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
25,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,2008,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
26,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,2009,334.96,353.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
27,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,2010,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
28,GERMANY,KRUEMMEL,BWR,Permanent Shutdown,2011,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=94
