,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,INDIA,KUDANKULAM-1,PWR,Operational,2013,0.29,661.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=852
1,INDIA,KUDANKULAM-1,PWR,Operational,2014,2542.23,4212.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=852
2,INDIA,KUDANKULAM-1,PWR,Operational,2015,3212.83,3993.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=852
3,INDIA,KUDANKULAM-1,PWR,Operational,2016,5823.01,6828.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=852
4,INDIA,KUDANKULAM-1,PWR,Operational,2017,2889.26,3937.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=852
5,INDIA,KUDANKULAM-1,PWR,Operational,2018,4372.96,4997.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=852
6,INDIA,KUDANKULAM-1,PWR,Operational,2019,4847.99,5349.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=852
7,INDIA,KUDANKULAM-1,PWR,Operational,2020,4968.8,6369.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=852
8,INDIA,KUDANKULAM-1,PWR,Operational,2021,6475.11,6982.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=852
9,INDIA,KUDANKULAM-1,PWR,Operational,2022,6572.07,7228.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=852
10,INDIA,KUDANKULAM-1,PWR,Operational,2023,7584.74,8141.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=852
11,INDIA,KUDANKULAM-1,PWR,Operational,2024,6475.05,6854.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=852
