,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
7,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,1989,5227.3,6390.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
8,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,1990,6000.55,6819.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
9,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,1991,7186.35,8101.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
10,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,1992,6176.28,6985.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
11,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,1993,6138.11,6921.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
12,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,1994,6224.08,6868.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
13,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,1995,5999.72,6543.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
14,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,1996,7423.24,7978.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
15,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,1997,7087.25,7745.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
16,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,1998,6549.57,7242.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
17,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,1999,6831.88,7544.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
18,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2000,7237.59,8234.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
19,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2001,5976.73,6772.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
20,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2002,6922.55,7530.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
21,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2003,7623.1,8427.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
22,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2004,6493.97,7301.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
23,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2005,6737.82,7424.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
24,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2006,7868.39,8560.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
25,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2007,7031.52,7716.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
26,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2008,7304.97,8029.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
27,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2009,8068.14,8739.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
28,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2010,6997.81,7649.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
29,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2011,7443.47,7909.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
30,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2012,8530.25,8765.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
31,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2013,7784.6,8057.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
32,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2014,7917.0,8098.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
33,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2015,8571.33,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
34,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2016,2415.47,2450.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
35,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2017,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
36,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2018,4661.56,4960.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
37,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2019,7481.74,7712.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
38,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2020,7589.27,7801.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
39,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2021,8263.28,8587.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
40,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2022,7512.73,7793.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
41,"TAIWAN, CHINA",KUOSHENG-2,BWR,Permanent Shutdown,2023,1720.15,1746.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=557
