,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,RUSSIA,KURSK-4,LWGR,Operational,1985,173.98,528.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
1,RUSSIA,KURSK-4,LWGR,Operational,1986,6328.54,7574.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
2,RUSSIA,KURSK-4,LWGR,Operational,1987,6167.68,6704.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
3,RUSSIA,KURSK-4,LWGR,Operational,1988,6653.03,7390.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
4,RUSSIA,KURSK-4,LWGR,Operational,1989,6131.81,6954.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
5,RUSSIA,KURSK-4,LWGR,Operational,1990,6050.02,6922.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
6,RUSSIA,KURSK-4,LWGR,Operational,1991,7356.07,8469.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
7,RUSSIA,KURSK-4,LWGR,Operational,1992,6117.37,7324.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
8,RUSSIA,KURSK-4,LWGR,Operational,1993,5638.27,6439.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
9,RUSSIA,KURSK-4,LWGR,Operational,1994,5369.44,6255.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
10,RUSSIA,KURSK-4,LWGR,Operational,1995,6207.48,7001.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
11,RUSSIA,KURSK-4,LWGR,Operational,1996,6590.19,7373.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
12,RUSSIA,KURSK-4,LWGR,Operational,1997,5971.68,6664.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
13,RUSSIA,KURSK-4,LWGR,Operational,1998,6641.43,7751.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
14,RUSSIA,KURSK-4,LWGR,Operational,1999,5895.38,6595.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
15,RUSSIA,KURSK-4,LWGR,Operational,2000,6778.77,7423.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
16,RUSSIA,KURSK-4,LWGR,Operational,2001,6671.63,7281.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
17,RUSSIA,KURSK-4,LWGR,Operational,2002,5530.98,6094.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
18,RUSSIA,KURSK-4,LWGR,Operational,2003,6233.39,6802.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
19,RUSSIA,KURSK-4,LWGR,Operational,2004,5422.93,6005.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
20,RUSSIA,KURSK-4,LWGR,Operational,2005,7081.14,7858.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
21,RUSSIA,KURSK-4,LWGR,Operational,2006,3636.44,4115.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
22,RUSSIA,KURSK-4,LWGR,Operational,2007,7426.5,8298.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
23,RUSSIA,KURSK-4,LWGR,Operational,2008,6052.4,6580.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
24,RUSSIA,KURSK-4,LWGR,Operational,2009,4184.28,4786.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
25,RUSSIA,KURSK-4,LWGR,Operational,2010,7557.08,8109.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
26,RUSSIA,KURSK-4,LWGR,Operational,2011,5500.69,5729.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
27,RUSSIA,KURSK-4,LWGR,Operational,2012,7470.41,8144.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
28,RUSSIA,KURSK-4,LWGR,Operational,2013,6213.89,6807.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
29,RUSSIA,KURSK-4,LWGR,Operational,2014,7517.8,8201.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
30,RUSSIA,KURSK-4,LWGR,Operational,2015,6745.34,7348.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
31,RUSSIA,KURSK-4,LWGR,Operational,2016,7420.59,8055.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
32,RUSSIA,KURSK-4,LWGR,Operational,2017,6940.86,7471.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
33,RUSSIA,KURSK-4,LWGR,Operational,2018,7117.3,7645.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
34,RUSSIA,KURSK-4,LWGR,Operational,2019,6538.38,7095.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
35,RUSSIA,KURSK-4,LWGR,Operational,2020,7277.83,7991.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
36,RUSSIA,KURSK-4,LWGR,Operational,2021,6292.87,6865.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
37,RUSSIA,KURSK-4,LWGR,Operational,2022,5672.23,6628.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
38,RUSSIA,KURSK-4,LWGR,Operational,2023,6760.71,7417.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
39,RUSSIA,KURSK-4,LWGR,Operational,2024,6952.74,7540.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=498
