,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
3,UNITED STATES OF AMERICA,LACROSSE,BWR,Permanent Shutdown,1971,210.6,4885.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=710
4,UNITED STATES OF AMERICA,LACROSSE,BWR,Permanent Shutdown,1972,256.5,5634.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=710
5,UNITED STATES OF AMERICA,LACROSSE,BWR,Permanent Shutdown,1973,199.2,4768.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=710
6,UNITED STATES OF AMERICA,LACROSSE,BWR,Permanent Shutdown,1974,313.3,7096.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=710
7,UNITED STATES OF AMERICA,LACROSSE,BWR,Permanent Shutdown,1975,264.1,6057.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=710
8,UNITED STATES OF AMERICA,LACROSSE,BWR,Permanent Shutdown,1976,175.9,4177.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=710
9,UNITED STATES OF AMERICA,LACROSSE,BWR,Permanent Shutdown,1977,92.3,2953.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=710
10,UNITED STATES OF AMERICA,LACROSSE,BWR,Permanent Shutdown,1978,175.1,5423.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=710
11,UNITED STATES OF AMERICA,LACROSSE,BWR,Permanent Shutdown,1979,201.7,6283.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=710
12,UNITED STATES OF AMERICA,LACROSSE,BWR,Permanent Shutdown,1980,214.5,6023.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=710
13,UNITED STATES OF AMERICA,LACROSSE,BWR,Permanent Shutdown,1981,241.2,6658.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=710
14,UNITED STATES OF AMERICA,LACROSSE,BWR,Permanent Shutdown,1982,139.6,3908.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=710
15,UNITED STATES OF AMERICA,LACROSSE,BWR,Permanent Shutdown,1983,202.3,5230.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=710
16,UNITED STATES OF AMERICA,LACROSSE,BWR,Permanent Shutdown,1984,318.6,7063.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=710
17,UNITED STATES OF AMERICA,LACROSSE,BWR,Permanent Shutdown,1985,322.91,7594.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=710
18,UNITED STATES OF AMERICA,LACROSSE,BWR,Permanent Shutdown,1986,158.83,3994.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=710
19,UNITED STATES OF AMERICA,LACROSSE,BWR,Permanent Shutdown,1987,129.06,2774.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=710
