,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,MEXICO,LAGUNA VERDE-2,BWR,Operational,1995,3379.4,5687.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
2,MEXICO,LAGUNA VERDE-2,BWR,Operational,1996,3668.41,6657.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
3,MEXICO,LAGUNA VERDE-2,BWR,Operational,1997,4805.53,7897.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
4,MEXICO,LAGUNA VERDE-2,BWR,Operational,1998,4411.9,7609.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
5,MEXICO,LAGUNA VERDE-2,BWR,Operational,1999,5110.57,8459.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
6,MEXICO,LAGUNA VERDE-2,BWR,Operational,2000,3339.07,5865.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
7,MEXICO,LAGUNA VERDE-2,BWR,Operational,2001,4228.06,6952.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
8,MEXICO,LAGUNA VERDE-2,BWR,Operational,2002,5161.0,8273.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
9,MEXICO,LAGUNA VERDE-2,BWR,Operational,2003,4604.83,7359.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
10,MEXICO,LAGUNA VERDE-2,BWR,Operational,2004,4578.18,7449.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
11,MEXICO,LAGUNA VERDE-2,BWR,Operational,2005,5310.3,8611.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
12,MEXICO,LAGUNA VERDE-2,BWR,Operational,2006,4870.21,8003.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
13,MEXICO,LAGUNA VERDE-2,BWR,Operational,2007,4920.19,8013.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
14,MEXICO,LAGUNA VERDE-2,BWR,Operational,2008,5560.95,8730.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
15,MEXICO,LAGUNA VERDE-2,BWR,Operational,2009,4653.65,7386.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
16,MEXICO,LAGUNA VERDE-2,BWR,Operational,2010,3705.88,6289.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
17,MEXICO,LAGUNA VERDE-2,BWR,Operational,2011,4391.62,7111.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
18,MEXICO,LAGUNA VERDE-2,BWR,Operational,2012,4993.39,6854.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
19,MEXICO,LAGUNA VERDE-2,BWR,Operational,2013,5657.68,8522.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
20,MEXICO,LAGUNA VERDE-2,BWR,Operational,2014,4435.62,6705.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
21,MEXICO,LAGUNA VERDE-2,BWR,Operational,2015,6442.96,8600.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
22,MEXICO,LAGUNA VERDE-2,BWR,Operational,2016,5175.73,7194.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
23,MEXICO,LAGUNA VERDE-2,BWR,Operational,2017,5557.43,7526.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
24,MEXICO,LAGUNA VERDE-2,BWR,Operational,2018,6703.77,8726.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
25,MEXICO,LAGUNA VERDE-2,BWR,Operational,2019,5076.89,7096.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
26,MEXICO,LAGUNA VERDE-2,BWR,Operational,2020,5470.11,7435.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
27,MEXICO,LAGUNA VERDE-2,BWR,Operational,2021,5441.04,7372.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
28,MEXICO,LAGUNA VERDE-2,BWR,Operational,2022,5001.67,7089.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
29,MEXICO,LAGUNA VERDE-2,BWR,Operational,2023,6594.14,8721.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
30,MEXICO,LAGUNA VERDE-2,BWR,Operational,2024,5649.01,7653.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=421
