,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,1982,460.8,1858.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
1,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,1983,1639.8,3087.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
2,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,1984,5206.21,6052.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
3,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,1985,4827.46,5581.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
4,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,1986,2100.75,2331.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
5,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,1987,4108.12,5455.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
6,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,1988,5453.67,5818.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
7,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,1989,6180.58,6103.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
8,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,1990,8637.38,8329.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
9,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,1991,6841.44,6627.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
10,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,1992,6469.28,6528.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
11,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,1993,7207.51,7102.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
12,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,1994,4945.32,5095.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
13,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,1995,8239.56,8226.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
14,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,1996,3300.36,3349.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
15,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,1997,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
16,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,1998,3336.67,3174.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
17,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,1999,8013.68,7963.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
18,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,2000,9745.39,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
19,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,2001,9850.36,8708.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
20,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,2002,8927.6,7945.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
21,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,2003,9739.03,8716.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
22,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,2004,9051.53,8059.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
23,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,2005,9811.96,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
24,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,2006,9092.07,8129.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
25,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,2007,9664.63,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
26,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,2008,8883.77,8103.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
27,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,2009,9700.71,8580.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
28,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,2010,9207.03,8119.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
29,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,2011,9851.68,8529.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
30,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,2012,9471.23,8213.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
31,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,2013,9774.52,8465.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
32,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,2014,9267.74,8092.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
33,UNITED STATES OF AMERICA,LASALLE-1,BWR,Operational,2015,10153.4,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=692
