,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
7,ITALY,LATINA,GCR,Permanent Shutdown,1970,1191.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=318
8,ITALY,LATINA,GCR,Permanent Shutdown,1971,845.3,6397.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=318
9,ITALY,LATINA,GCR,Permanent Shutdown,1972,1204.1,7751.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=318
10,ITALY,LATINA,GCR,Permanent Shutdown,1973,654.6,5401.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=318
11,ITALY,LATINA,GCR,Permanent Shutdown,1974,953.8,7455.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=318
12,ITALY,LATINA,GCR,Permanent Shutdown,1975,948.3,7362.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=318
13,ITALY,LATINA,GCR,Permanent Shutdown,1976,946.6,7980.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=318
14,ITALY,LATINA,GCR,Permanent Shutdown,1977,1076.4,7653.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=318
15,ITALY,LATINA,GCR,Permanent Shutdown,1978,1184.9,8351.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=318
16,ITALY,LATINA,GCR,Permanent Shutdown,1979,789.0,5284.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=318
17,ITALY,LATINA,GCR,Permanent Shutdown,1980,894.0,5981.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=318
18,ITALY,LATINA,GCR,Permanent Shutdown,1981,895.4,6182.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=318
19,ITALY,LATINA,GCR,Permanent Shutdown,1982,872.2,5997.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=318
20,ITALY,LATINA,GCR,Permanent Shutdown,1983,1274.0,8641.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=318
21,ITALY,LATINA,GCR,Permanent Shutdown,1984,933.0,6160.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=318
22,ITALY,LATINA,GCR,Permanent Shutdown,1985,1186.6,8331.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=318
23,ITALY,LATINA,GCR,Permanent Shutdown,1986,1131.0,7663.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=318
24,ITALY,LATINA,GCR,Permanent Shutdown,1987,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=318
