,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,SWITZERLAND,LEIBSTADT,BWR,Operational,1984,2.21,3361.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=59
1,SWITZERLAND,LEIBSTADT,BWR,Operational,1985,6769.3,7233.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=59
2,SWITZERLAND,LEIBSTADT,BWR,Operational,1986,7209.23,7668.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=59
3,SWITZERLAND,LEIBSTADT,BWR,Operational,1987,7376.42,7917.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=59
4,SWITZERLAND,LEIBSTADT,BWR,Operational,1988,7003.53,7536.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=59
5,SWITZERLAND,LEIBSTADT,BWR,Operational,1989,7364.21,7671.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=59
6,SWITZERLAND,LEIBSTADT,BWR,Operational,1990,7596.23,7905.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=59
7,SWITZERLAND,LEIBSTADT,BWR,Operational,1991,7060.3,7580.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=59
8,SWITZERLAND,LEIBSTADT,BWR,Operational,1992,7537.62,7986.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=59
9,SWITZERLAND,LEIBSTADT,BWR,Operational,1993,7338.05,7898.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=59
10,SWITZERLAND,LEIBSTADT,BWR,Operational,1994,6988.22,7108.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=59
11,SWITZERLAND,LEIBSTADT,BWR,Operational,1995,7673.83,7819.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=59
12,SWITZERLAND,LEIBSTADT,BWR,Operational,1996,7705.13,7734.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=59
13,SWITZERLAND,LEIBSTADT,BWR,Operational,1997,7762.5,7830.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=59
14,SWITZERLAND,LEIBSTADT,BWR,Operational,1998,8046.2,8102.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=59
15,SWITZERLAND,LEIBSTADT,BWR,Operational,1999,8319.99,8126.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=59
16,SWITZERLAND,LEIBSTADT,BWR,Operational,2000,8823.19,8159.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=59
17,SWITZERLAND,LEIBSTADT,BWR,Operational,2001,9089.77,8187.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=59
