,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1975,1639.95,2744.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
1,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1976,5492.29,7654.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
2,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1977,5413.69,7337.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
3,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1978,6310.8,8008.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
4,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1979,5633.67,6954.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
5,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1980,6351.84,7960.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
6,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1981,5177.19,6057.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
7,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1982,7266.78,8125.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
8,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1983,6790.78,7479.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
9,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1984,7145.9,7881.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
10,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1985,5962.57,6604.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
11,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1986,7152.34,7914.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
12,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1987,7228.2,7513.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
13,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1988,6814.92,7417.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
14,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1989,6111.49,7102.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
15,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1990,5998.3,8125.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
16,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1991,4410.75,7204.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
17,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1992,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
18,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1993,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
19,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1994,164.1,660.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
20,RUSSIA,LENINGRAD-2,LWGR,Permanent Shutdown,1995,6812.05,8280.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=475
