,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,1985,1160.85,2552.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
1,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,1986,7210.57,7022.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
2,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,1987,5341.32,5924.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
3,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,1988,6674.75,8470.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
4,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,1989,5244.25,5638.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
5,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,1990,5633.12,5724.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
6,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,1991,8133.85,8043.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
7,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,1992,6239.64,6115.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
8,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,1993,8745.47,8626.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
9,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,1994,7858.02,7840.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
10,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,1995,8147.47,7973.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
11,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,1996,8141.62,7758.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
12,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,1997,9227.48,8534.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
13,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,1998,7449.12,7061.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
14,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,1999,9744.01,8588.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
15,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,2000,8988.1,7982.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
16,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,2001,10133.1,8735.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
17,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,2002,9286.82,8244.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
18,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,2003,10057.46,8672.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
19,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,2004,9539.06,8345.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
20,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,2005,9926.94,8642.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
21,UNITED STATES OF AMERICA,LIMERICK-1,BWR,Operational,2006,9320.36,8224.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=678
