,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,CHINA,LING AO-2,PWR,Operational,2003,6934.88,7494.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
2,CHINA,LING AO-2,PWR,Operational,2004,6669.41,7109.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
3,CHINA,LING AO-2,PWR,Operational,2005,7530.93,8075.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
4,CHINA,LING AO-2,PWR,Operational,2006,7660.99,8164.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
5,CHINA,LING AO-2,PWR,Operational,2007,7215.07,7796.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
6,CHINA,LING AO-2,PWR,Operational,2008,7077.15,7577.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
7,CHINA,LING AO-2,PWR,Operational,2009,7433.81,8052.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
8,CHINA,LING AO-2,PWR,Operational,2010,7505.55,8112.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
9,CHINA,LING AO-2,PWR,Operational,2011,7734.34,8284.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
10,CHINA,LING AO-2,PWR,Operational,2012,7474.47,8113.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
11,CHINA,LING AO-2,PWR,Operational,2013,7261.33,7804.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
12,CHINA,LING AO-2,PWR,Operational,2014,7773.26,8363.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
13,CHINA,LING AO-2,PWR,Operational,2015,7548.19,8114.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
14,CHINA,LING AO-2,PWR,Operational,2016,6969.06,7514.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
15,CHINA,LING AO-2,PWR,Operational,2017,7720.79,8404.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
16,CHINA,LING AO-2,PWR,Operational,2018,7269.8,8108.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
17,CHINA,LING AO-2,PWR,Operational,2019,6863.24,7531.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
18,CHINA,LING AO-2,PWR,Operational,2020,7007.26,7907.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
19,CHINA,LING AO-2,PWR,Operational,2021,8143.18,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
20,CHINA,LING AO-2,PWR,Operational,2022,7593.07,8030.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
21,CHINA,LING AO-2,PWR,Operational,2023,6968.32,7453.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
22,CHINA,LING AO-2,PWR,Operational,2024,7474.46,8092.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=68
