,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FINLAND,LOVIISA-2,PWR,Operational,1980,321.6,1268.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
1,FINLAND,LOVIISA-2,PWR,Operational,1981,2714.2,7062.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
2,FINLAND,LOVIISA-2,PWR,Operational,1982,2997.4,7046.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
3,FINLAND,LOVIISA-2,PWR,Operational,1983,3474.5,8063.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
4,FINLAND,LOVIISA-2,PWR,Operational,1984,3608.63,8251.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
5,FINLAND,LOVIISA-2,PWR,Operational,1985,3549.84,8162.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
6,FINLAND,LOVIISA-2,PWR,Operational,1986,3174.87,7273.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
7,FINLAND,LOVIISA-2,PWR,Operational,1987,3572.08,8242.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
8,FINLAND,LOVIISA-2,PWR,Operational,1988,3602.27,8305.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
9,FINLAND,LOVIISA-2,PWR,Operational,1989,3550.96,8128.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
10,FINLAND,LOVIISA-2,PWR,Operational,1990,3251.05,7584.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
11,FINLAND,LOVIISA-2,PWR,Operational,1991,3442.19,7941.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
12,FINLAND,LOVIISA-2,PWR,Operational,1992,3468.45,7931.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
13,FINLAND,LOVIISA-2,PWR,Operational,1993,3550.79,8050.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
14,FINLAND,LOVIISA-2,PWR,Operational,1994,3124.71,7170.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
15,FINLAND,LOVIISA-2,PWR,Operational,1995,3060.25,7064.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
16,FINLAND,LOVIISA-2,PWR,Operational,1996,3621.33,8227.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
17,FINLAND,LOVIISA-2,PWR,Operational,1997,3804.7,8267.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
18,FINLAND,LOVIISA-2,PWR,Operational,1998,3687.9,7892.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
19,FINLAND,LOVIISA-2,PWR,Operational,1999,3974.34,8281.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
20,FINLAND,LOVIISA-2,PWR,Operational,2000,3885.1,8314.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
21,FINLAND,LOVIISA-2,PWR,Operational,2001,3781.06,8149.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
22,FINLAND,LOVIISA-2,PWR,Operational,2002,3498.66,7463.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
23,FINLAND,LOVIISA-2,PWR,Operational,2003,3736.65,8358.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
24,FINLAND,LOVIISA-2,PWR,Operational,2004,4009.18,8231.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
25,FINLAND,LOVIISA-2,PWR,Operational,2005,4076.12,8376.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
26,FINLAND,LOVIISA-2,PWR,Operational,2006,3766.55,7863.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
27,FINLAND,LOVIISA-2,PWR,Operational,2007,4090.87,8403.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=158
