,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
5,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,1989,5418.45,6305.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
6,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,1990,6098.9,7079.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
7,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,1991,6479.06,7368.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
8,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,1992,6038.78,6826.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
9,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,1993,6258.75,6930.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
10,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,1994,6322.62,7098.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
11,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,1995,6741.14,7495.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
12,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,1996,7537.0,8329.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
13,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,1997,5949.22,6752.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
14,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,1998,5514.47,6101.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
15,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,1999,7392.65,8328.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
16,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2000,6729.03,7502.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
17,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2001,5333.31,6046.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
18,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2002,7800.8,8726.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
19,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2003,6751.01,7579.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
20,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2004,6793.74,7742.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
21,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2005,7701.72,8693.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
22,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2006,6763.25,7599.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
23,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2007,7168.16,8001.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
24,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2008,7904.88,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
25,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2009,7205.22,7959.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
26,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2010,7272.45,8009.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
27,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2011,8022.09,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
28,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2012,6994.76,7620.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
29,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2013,7011.65,7615.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
30,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2014,7913.59,8517.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
31,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2015,7492.71,8035.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
32,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2016,7228.08,7799.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
33,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2017,8136.28,8682.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
34,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2018,7201.98,7681.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
35,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2019,7118.57,7652.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
36,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2020,8222.12,8728.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
37,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2021,7259.81,7716.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
38,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2022,7197.97,7677.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
39,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2023,8133.04,8704.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
40,"TAIWAN, CHINA",MAANSHAN-1,PWR,Permanent Shutdown,2024,4543.97,5014.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=558
