,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,INDIA,MADRAS-1,PHWR,Suspended Operation,1984,1115.82,6333.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
2,INDIA,MADRAS-1,PHWR,Suspended Operation,1985,822.08,4827.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
3,INDIA,MADRAS-1,PHWR,Suspended Operation,1986,757.12,4629.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
4,INDIA,MADRAS-1,PHWR,Suspended Operation,1987,1100.0,6047.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
5,INDIA,MADRAS-1,PHWR,Suspended Operation,1988,1258.0,6691.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
6,INDIA,MADRAS-1,PHWR,Suspended Operation,1989,404.57,4350.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
7,INDIA,MADRAS-1,PHWR,Suspended Operation,1990,863.72,7320.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
8,INDIA,MADRAS-1,PHWR,Suspended Operation,1991,499.9,3546.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
9,INDIA,MADRAS-1,PHWR,Suspended Operation,1992,1082.59,7412.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
10,INDIA,MADRAS-1,PHWR,Suspended Operation,1993,538.94,3836.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
11,INDIA,MADRAS-1,PHWR,Suspended Operation,1994,809.0,5974.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
12,INDIA,MADRAS-1,PHWR,Suspended Operation,1995,1085.16,7584.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
13,INDIA,MADRAS-1,PHWR,Suspended Operation,1996,617.15,4348.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
14,INDIA,MADRAS-1,PHWR,Suspended Operation,1997,893.02,6451.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
15,INDIA,MADRAS-1,PHWR,Suspended Operation,1998,703.44,4858.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
16,INDIA,MADRAS-1,PHWR,Suspended Operation,1999,1182.43,8095.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
17,INDIA,MADRAS-1,PHWR,Suspended Operation,2000,667.75,4468.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
18,INDIA,MADRAS-1,PHWR,Suspended Operation,2001,1174.49,7751.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
19,INDIA,MADRAS-1,PHWR,Suspended Operation,2002,895.76,5885.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
20,INDIA,MADRAS-1,PHWR,Suspended Operation,2003,810.57,5421.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
21,INDIA,MADRAS-1,PHWR,Suspended Operation,2004,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
22,INDIA,MADRAS-1,PHWR,Suspended Operation,2005,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
23,INDIA,MADRAS-1,PHWR,Suspended Operation,2006,1224.96,7823.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
24,INDIA,MADRAS-1,PHWR,Suspended Operation,2007,695.77,5814.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
25,INDIA,MADRAS-1,PHWR,Suspended Operation,2008,697.94,6791.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
26,INDIA,MADRAS-1,PHWR,Suspended Operation,2009,721.62,6404.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
27,INDIA,MADRAS-1,PHWR,Suspended Operation,2010,1024.38,8614.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
28,INDIA,MADRAS-1,PHWR,Suspended Operation,2011,1117.42,7655.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
29,INDIA,MADRAS-1,PHWR,Suspended Operation,2012,1316.32,8459.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
30,INDIA,MADRAS-1,PHWR,Suspended Operation,2013,1259.8,8231.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
31,INDIA,MADRAS-1,PHWR,Suspended Operation,2014,1122.29,7474.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
32,INDIA,MADRAS-1,PHWR,Suspended Operation,2015,1631.27,8312.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
33,INDIA,MADRAS-1,PHWR,Suspended Operation,2016,1402.44,8130.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
34,INDIA,MADRAS-1,PHWR,Suspended Operation,2017,1359.21,7025.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
35,INDIA,MADRAS-1,PHWR,Suspended Operation,2018,62.39,378.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
36,INDIA,MADRAS-1,PHWR,Suspended Operation,2019,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
37,INDIA,MADRAS-1,PHWR,Suspended Operation,2020,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
38,INDIA,MADRAS-1,PHWR,Suspended Operation,2021,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=304
