,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1973,3365.4,6644.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
2,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1974,3574.3,6016.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
3,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1975,4502.5,7002.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
4,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1976,5928.7,8346.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
5,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1977,5144.7,7197.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
6,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1978,5355.0,7363.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
7,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1979,4539.2,5991.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
8,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1980,4403.7,6337.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
9,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1981,5212.0,6849.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
10,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1982,4524.1,6045.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
11,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1983,5734.0,7317.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
12,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1984,5134.17,6532.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
13,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1985,5354.42,6931.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
14,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1986,6241.76,7690.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
15,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1987,4042.9,5414.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
16,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1988,4605.71,6065.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
17,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1989,6941.71,8128.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
18,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1990,4859.73,5852.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
19,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1991,6264.37,7469.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
20,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1992,5358.0,6625.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
21,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1993,5739.87,6833.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
22,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1994,6631.98,7737.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
23,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1995,197.58,249.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
24,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1996,5062.02,6563.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
25,UNITED STATES OF AMERICA,MAINE YANKEE,PWR,Permanent Shutdown,1997,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=649
