,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,1984,6557.8,6086.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
2,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,1985,5609.29,5171.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
3,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,1986,6216.62,5601.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
4,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,1987,7577.35,6954.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
5,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,1988,8058.02,7229.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
6,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,1989,7418.33,6867.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
7,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,1990,6496.16,5873.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
8,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,1991,9515.97,8548.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
9,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,1992,6785.04,6141.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
10,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,1993,6821.09,6378.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
11,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,1994,8659.96,7708.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
12,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,1995,9090.01,8144.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
13,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,1996,7265.11,6543.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
14,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,1997,6648.44,6214.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
15,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,1998,9928.27,8715.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
16,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,1999,8596.72,7927.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
17,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,2000,8452.37,7757.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
18,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,2001,9878.04,8698.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
19,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,2002,8913.51,7940.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
20,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,2003,9027.81,8024.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
21,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,2004,9994.02,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
22,UNITED STATES OF AMERICA,MCGUIRE-2,PWR,Operational,2005,8545.57,7589.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=691
