,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,JAPAN,MIHAMA-1,PWR,Permanent Shutdown,1970,530.0,2251.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=366
1,JAPAN,MIHAMA-1,PWR,Permanent Shutdown,1971,1953.8,5977.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=366
2,JAPAN,MIHAMA-1,PWR,Permanent Shutdown,1972,1259.95,4156.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=366
3,JAPAN,MIHAMA-1,PWR,Permanent Shutdown,1973,945.3,4865.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=366
4,JAPAN,MIHAMA-1,PWR,Permanent Shutdown,1974,391.8,2151.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=366
5,JAPAN,MIHAMA-1,PWR,Permanent Shutdown,1975,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=366
6,JAPAN,MIHAMA-1,PWR,Permanent Shutdown,1976,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=366
7,JAPAN,MIHAMA-1,PWR,Permanent Shutdown,1977,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=366
8,JAPAN,MIHAMA-1,PWR,Permanent Shutdown,1978,118.7,1059.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=366
9,JAPAN,MIHAMA-1,PWR,Permanent Shutdown,1979,115.4,1014.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=366
10,JAPAN,MIHAMA-1,PWR,Permanent Shutdown,1980,1012.9,4472.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=366
11,JAPAN,MIHAMA-1,PWR,Permanent Shutdown,1981,1178.1,3931.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=366
12,JAPAN,MIHAMA-1,PWR,Permanent Shutdown,1982,92.8,455.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=366
13,JAPAN,MIHAMA-1,PWR,Permanent Shutdown,1983,1164.4,3731.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=366
14,JAPAN,MIHAMA-1,PWR,Permanent Shutdown,1984,1576.63,5053.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=366
15,JAPAN,MIHAMA-1,PWR,Permanent Shutdown,1985,2240.2,7077.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=366
16,JAPAN,MIHAMA-1,PWR,Permanent Shutdown,1986,2707.24,8482.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=366
