,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1971,3747.1,6204.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
2,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1972,3307.3,5184.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
3,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1973,1877.4,3986.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
4,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1974,3604.1,6928.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
5,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1975,3897.1,6627.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
6,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1976,3757.1,6682.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
7,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1977,4820.3,7844.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
8,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1978,4654.9,7669.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
9,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1979,4224.3,6771.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
10,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1980,3394.1,6029.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
11,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1981,2528.0,4515.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
12,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1982,4080.8,6995.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
13,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1983,5354.3,8375.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
14,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1984,4325.87,6918.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
15,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1985,4588.35,7251.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
16,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1986,5247.94,8174.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
17,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1987,4379.43,6825.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
18,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1988,5535.72,8604.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
19,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1989,4641.82,7278.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
20,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1990,5094.95,7903.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
21,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1991,1776.18,2889.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
22,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1992,3619.08,5908.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
23,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1993,5273.22,8434.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
24,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1994,3292.03,5412.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
25,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1995,4349.99,6929.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
26,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1996,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
27,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1997,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
28,UNITED STATES OF AMERICA,MILLSTONE-1,BWR,Permanent Shutdown,1998,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=610
