,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2000,2641.42,7513.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
2,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2001,2540.88,6967.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
3,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2002,2498.36,6862.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
4,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2003,2964.87,7729.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
5,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2004,2034.5,7210.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
6,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2005,3050.88,7900.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
7,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2006,2787.17,7254.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
8,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2007,3191.35,8082.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
9,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2008,3070.5,7797.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
10,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2009,3414.88,8128.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
11,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2010,3189.95,7574.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
12,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2011,3480.32,8195.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
13,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2012,3476.42,8121.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
14,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2013,3581.83,8274.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
15,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2014,3392.49,7842.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
16,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2015,3561.23,8296.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
17,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2016,3535.75,8268.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
18,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2017,3543.32,8280.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
19,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2018,3271.12,7642.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
20,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2019,3398.93,7922.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
21,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2020,3332.8,8112.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
22,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2021,3747.56,8155.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
23,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2022,3800.5,8249.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
24,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2023,3848.01,8327.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
25,SLOVAKIA,MOCHOVCE-2,PWR,Operational,2024,3822.24,8307.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=551
