,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1971,1465.9,3357.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
1,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1972,3717.9,6975.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
2,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1973,3271.6,6242.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
3,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1974,2925.2,6567.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
4,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1975,2881.4,6322.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
5,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1976,3986.2,8033.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
6,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1977,3570.7,7001.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
7,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1978,3856.2,7638.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
8,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1979,4399.7,8549.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
9,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1980,3455.5,6876.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
10,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1981,3262.3,6362.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
11,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1982,2425.1,5543.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
12,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1983,4147.7,8438.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
13,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1984,279.13,808.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
14,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1985,4286.99,8028.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
15,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1986,3379.91,6926.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
16,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1987,3535.62,7051.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
17,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1988,4573.58,8759.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
18,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1989,2650.4,6578.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
19,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1990,4505.93,8414.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
20,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1991,3596.53,6996.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
21,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1992,4453.67,8527.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
22,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1993,3864.38,7322.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
23,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1994,3956.18,7508.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
24,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1995,4756.26,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
25,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1996,3872.94,7443.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
26,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1997,3661.6,6609.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
27,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1998,4118.93,7659.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
28,UNITED STATES OF AMERICA,MONTICELLO,BWR,Operational,1999,4649.34,8092.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=620
