,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1972,860.1,3834.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
2,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1973,2011.6,7315.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
3,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1974,1846.2,7062.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
4,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1975,2344.1,7989.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
5,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1976,2355.2,7960.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
6,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1977,2429.3,8097.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
7,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1978,2465.7,8001.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
8,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1979,2473.9,8024.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
9,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1980,2482.4,8005.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
10,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1981,2539.0,8051.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
11,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1982,2663.3,8017.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
12,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1983,2564.3,8026.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
13,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1984,2527.17,7989.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
14,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1985,2500.66,7882.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
15,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1986,2114.47,6645.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
16,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1987,2464.95,7959.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
17,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1988,2497.6,7968.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
18,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1989,2297.5,7226.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
19,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1990,2477.89,7910.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
20,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1991,2415.07,7714.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
21,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1992,2413.45,7755.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
22,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1993,2568.47,7917.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
23,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1994,2643.11,7952.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
24,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1995,2668.96,7894.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
25,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1996,2649.03,7847.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
26,SWITZERLAND,MUEHLEBERG,BWR,Permanent Shutdown,1997,2549.15,7671.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=56
