,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
5,GERMANY,MZFR,PHWR,Permanent Shutdown,1971,334.4,5841.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=93
6,GERMANY,MZFR,PHWR,Permanent Shutdown,1972,434.9,7506.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=93
7,GERMANY,MZFR,PHWR,Permanent Shutdown,1973,88.0,1737.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=93
8,GERMANY,MZFR,PHWR,Permanent Shutdown,1974,326.2,6392.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=93
9,GERMANY,MZFR,PHWR,Permanent Shutdown,1975,327.4,6442.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=93
10,GERMANY,MZFR,PHWR,Permanent Shutdown,1976,394.2,7693.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=93
11,GERMANY,MZFR,PHWR,Permanent Shutdown,1977,295.0,5783.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=93
12,GERMANY,MZFR,PHWR,Permanent Shutdown,1978,389.8,7730.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=93
13,GERMANY,MZFR,PHWR,Permanent Shutdown,1979,379.0,7747.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=93
14,GERMANY,MZFR,PHWR,Permanent Shutdown,1980,327.0,6679.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=93
15,GERMANY,MZFR,PHWR,Permanent Shutdown,1981,248.0,5111.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=93
16,GERMANY,MZFR,PHWR,Permanent Shutdown,1982,365.0,7677.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=93
17,GERMANY,MZFR,PHWR,Permanent Shutdown,1983,305.0,6518.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=93
18,GERMANY,MZFR,PHWR,Permanent Shutdown,1984,131.3,2855.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=93
