,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
2,INDIA,NARORA-1,PHWR,Operational,1991,449.26,4331.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
3,INDIA,NARORA-1,PHWR,Operational,1992,742.66,5514.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
4,INDIA,NARORA-1,PHWR,Operational,1993,339.57,2032.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
5,INDIA,NARORA-1,PHWR,Operational,1994,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
6,INDIA,NARORA-1,PHWR,Operational,1995,944.42,5740.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
7,INDIA,NARORA-1,PHWR,Operational,1996,1162.26,6407.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
8,INDIA,NARORA-1,PHWR,Operational,1997,1585.2,8128.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
9,INDIA,NARORA-1,PHWR,Operational,1998,1485.61,7986.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
10,INDIA,NARORA-1,PHWR,Operational,1999,1128.61,6703.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
11,INDIA,NARORA-1,PHWR,Operational,2000,1386.34,7452.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
12,INDIA,NARORA-1,PHWR,Operational,2001,1562.99,8157.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
13,INDIA,NARORA-1,PHWR,Operational,2002,1574.49,7912.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
14,INDIA,NARORA-1,PHWR,Operational,2003,1528.25,8254.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
15,INDIA,NARORA-1,PHWR,Operational,2004,1120.61,6860.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
16,INDIA,NARORA-1,PHWR,Operational,2005,1064.75,6924.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
17,INDIA,NARORA-1,PHWR,Operational,2006,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
18,INDIA,NARORA-1,PHWR,Operational,2007,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
19,INDIA,NARORA-1,PHWR,Operational,2008,567.17,5963.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
20,INDIA,NARORA-1,PHWR,Operational,2009,551.08,6298.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
21,INDIA,NARORA-1,PHWR,Operational,2010,956.95,8191.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
22,INDIA,NARORA-1,PHWR,Operational,2011,1044.57,8494.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
23,INDIA,NARORA-1,PHWR,Operational,2012,987.24,7611.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
24,INDIA,NARORA-1,PHWR,Operational,2013,1223.62,7739.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
25,INDIA,NARORA-1,PHWR,Operational,2014,1067.58,7750.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
26,INDIA,NARORA-1,PHWR,Operational,2015,1568.35,8449.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
27,INDIA,NARORA-1,PHWR,Operational,2016,1479.92,7649.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
28,INDIA,NARORA-1,PHWR,Operational,2017,1658.28,8520.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
29,INDIA,NARORA-1,PHWR,Operational,2018,1624.8,8462.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
30,INDIA,NARORA-1,PHWR,Operational,2019,1411.63,7459.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
31,INDIA,NARORA-1,PHWR,Operational,2020,1655.65,8543.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
32,INDIA,NARORA-1,PHWR,Operational,2021,1556.37,8269.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
33,INDIA,NARORA-1,PHWR,Operational,2022,1394.87,7444.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
34,INDIA,NARORA-1,PHWR,Operational,2023,1355.97,7241.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
35,INDIA,NARORA-1,PHWR,Operational,2024,1680.44,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=306
