,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1976,1932.7,3500.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
1,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1977,4946.6,6513.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
2,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1978,4934.5,6583.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
3,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1979,3573.0,4698.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
4,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1980,5473.0,7080.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
5,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1981,5949.3,7705.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
6,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1982,5781.1,7517.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
7,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1983,6047.0,7910.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
8,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1984,5842.0,7618.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
9,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1985,6161.44,8050.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
10,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1986,4153.1,5368.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
11,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1987,5395.13,6828.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
12,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1988,5269.36,6772.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
13,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1989,4019.49,6395.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
14,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1990,5754.05,7524.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
15,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1991,5404.46,7614.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
16,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1992,5270.06,7470.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
17,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1993,5559.54,7371.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
18,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1994,6307.84,8184.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
19,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1995,5966.0,8020.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
20,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1996,6054.5,8301.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
21,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1997,6230.19,8305.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
22,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1998,5907.77,8185.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
23,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,1999,5849.13,8022.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
24,GERMANY,NECKARWESTHEIM-1,PWR,Permanent Shutdown,2000,6141.4,8284.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=88
