,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,UNITED STATES OF AMERICA,NINE MILE POINT-1,BWR,Operational,1970,1581.0,3443.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=607
2,UNITED STATES OF AMERICA,NINE MILE POINT-1,BWR,Operational,1971,3033.1,5963.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=607
3,UNITED STATES OF AMERICA,NINE MILE POINT-1,BWR,Operational,1972,3344.8,6101.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=607
4,UNITED STATES OF AMERICA,NINE MILE POINT-1,BWR,Operational,1973,3494.2,6682.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=607
5,UNITED STATES OF AMERICA,NINE MILE POINT-1,BWR,Operational,1974,3278.7,6177.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=607
6,UNITED STATES OF AMERICA,NINE MILE POINT-1,BWR,Operational,1975,3044.9,6235.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=607
7,UNITED STATES OF AMERICA,NINE MILE POINT-1,BWR,Operational,1976,4112.8,7724.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=607
8,UNITED STATES OF AMERICA,NINE MILE POINT-1,BWR,Operational,1977,2956.8,5171.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=607
9,UNITED STATES OF AMERICA,NINE MILE POINT-1,BWR,Operational,1978,4467.4,8329.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=607
10,UNITED STATES OF AMERICA,NINE MILE POINT-1,BWR,Operational,1979,3005.4,5785.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=607
11,UNITED STATES OF AMERICA,NINE MILE POINT-1,BWR,Operational,1980,4537.3,8097.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=607
12,UNITED STATES OF AMERICA,NINE MILE POINT-1,BWR,Operational,1981,3270.3,5780.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=607
13,UNITED STATES OF AMERICA,NINE MILE POINT-1,BWR,Operational,1982,1134.8,1872.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=607
14,UNITED STATES OF AMERICA,NINE MILE POINT-1,BWR,Operational,1983,2802.0,4925.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=607
