,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,CHINA,NINGDE-2,PWR,Operational,2014,6568.05,7044.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=922
1,CHINA,NINGDE-2,PWR,Operational,2015,6528.23,7145.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=922
2,CHINA,NINGDE-2,PWR,Operational,2016,5714.85,6290.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=922
3,CHINA,NINGDE-2,PWR,Operational,2017,8252.86,8371.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=922
4,CHINA,NINGDE-2,PWR,Operational,2018,7953.87,7938.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=922
5,CHINA,NINGDE-2,PWR,Operational,2019,8079.09,8026.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=922
6,CHINA,NINGDE-2,PWR,Operational,2020,8940.5,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=922
7,CHINA,NINGDE-2,PWR,Operational,2021,8043.49,7904.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=922
8,CHINA,NINGDE-2,PWR,Operational,2022,8303.72,8158.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=922
9,CHINA,NINGDE-2,PWR,Operational,2023,8874.52,8718.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=922
10,CHINA,NINGDE-2,PWR,Operational,2024,7514.99,7428.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=922
