,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,NOGENT-2,PWR,Operational,1988,50.0,198.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
1,FRANCE,NOGENT-2,PWR,Operational,1989,7470.05,6660.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
2,FRANCE,NOGENT-2,PWR,Operational,1990,7532.95,6094.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
3,FRANCE,NOGENT-2,PWR,Operational,1991,8331.15,7008.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
4,FRANCE,NOGENT-2,PWR,Operational,1992,8312.33,6937.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
5,FRANCE,NOGENT-2,PWR,Operational,1993,9191.68,7594.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
6,FRANCE,NOGENT-2,PWR,Operational,1994,6483.02,6027.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
7,FRANCE,NOGENT-2,PWR,Operational,1995,7545.41,6862.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
8,FRANCE,NOGENT-2,PWR,Operational,1996,8477.02,7229.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
9,FRANCE,NOGENT-2,PWR,Operational,1997,8925.81,7656.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
10,FRANCE,NOGENT-2,PWR,Operational,1998,8830.03,7386.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
11,FRANCE,NOGENT-2,PWR,Operational,1999,7957.34,6732.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
12,FRANCE,NOGENT-2,PWR,Operational,2000,9672.12,7654.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
13,FRANCE,NOGENT-2,PWR,Operational,2001,9378.95,7589.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
14,FRANCE,NOGENT-2,PWR,Operational,2002,8205.53,7241.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
15,FRANCE,NOGENT-2,PWR,Operational,2003,9447.11,7954.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
16,FRANCE,NOGENT-2,PWR,Operational,2004,8216.7,7044.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
17,FRANCE,NOGENT-2,PWR,Operational,2005,8393.26,6907.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
18,FRANCE,NOGENT-2,PWR,Operational,2006,10046.5,7854.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
19,FRANCE,NOGENT-2,PWR,Operational,2007,9885.89,7918.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=216
