,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1978,3971.5,5420.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
1,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1979,4188.7,5399.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
2,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1980,5631.0,7589.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
3,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1981,4637.9,5703.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
4,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1982,2397.9,3027.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
5,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1983,5310.4,6277.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
6,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1984,3784.8,4425.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
7,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1985,5798.93,6820.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
8,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1986,6310.74,7327.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
9,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1987,3568.91,4523.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
10,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1988,6897.3,7760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
11,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1989,4303.32,4978.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
12,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1990,7233.54,8726.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
13,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1991,5625.82,6549.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
14,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1992,5358.08,7225.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
15,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1993,5692.65,6444.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
16,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1994,6795.7,8012.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
17,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1995,7839.17,8733.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
18,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1996,6945.5,7985.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
19,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1997,7157.53,7992.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
20,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1998,7217.05,8091.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
21,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,1999,8124.46,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
22,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2000,7213.08,7997.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
23,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2001,7120.79,8010.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
24,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2002,8164.34,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
25,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2003,6519.92,7200.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
26,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2004,7418.35,8023.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
27,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2005,8091.86,8744.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
28,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2006,7142.74,7861.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
29,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2007,7215.14,7854.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
30,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2008,7986.83,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
31,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2009,7302.5,8017.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
32,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2010,6779.93,7496.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
33,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2011,6243.13,6746.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
34,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2012,7170.9,7531.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
35,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2013,7672.82,7922.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
36,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2014,8279.47,8546.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
37,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2015,7789.98,8141.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
38,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2016,7629.4,7925.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
39,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2017,8492.34,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
40,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2018,7568.38,7893.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
41,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2019,7850.41,8159.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
42,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2020,8468.83,8783.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
43,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2021,6896.85,7276.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
44,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2022,7485.98,7812.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
45,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2023,8412.1,8720.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
46,UNITED STATES OF AMERICA,NORTH ANNA-1,PWR,Operational,2024,7546.01,7869.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=672
