,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1980,973.69,3210.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
1,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1981,4639.79,6929.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
2,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1982,5042.84,6631.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
3,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1983,6607.53,7716.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
4,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1984,6979.64,7742.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
5,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1985,6894.29,7979.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
6,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1986,5523.75,6806.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
7,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1987,7052.7,7399.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
8,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1988,3017.85,3439.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
9,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1989,3308.95,3778.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
10,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1990,3913.28,4715.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
11,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1991,5878.22,6996.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
12,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1992,3752.83,5244.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
13,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1993,5935.41,7448.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
14,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1994,2281.89,4288.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
15,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1995,4753.72,6670.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
16,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1996,3861.84,4759.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
17,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1997,5949.25,6854.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
18,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1998,3771.78,4457.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
19,RUSSIA,NOVOVORONEZH-5,PWR,Operational,1999,4845.42,6062.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
20,RUSSIA,NOVOVORONEZH-5,PWR,Operational,2000,5278.64,6479.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
21,RUSSIA,NOVOVORONEZH-5,PWR,Operational,2001,5984.59,7508.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
22,RUSSIA,NOVOVORONEZH-5,PWR,Operational,2002,6762.21,7430.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
23,RUSSIA,NOVOVORONEZH-5,PWR,Operational,2003,6951.21,7507.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=483
