,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
2,GERMANY,OBRIGHEIM,PWR,Permanent Shutdown,1970,2523.0,7347.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=121
3,GERMANY,OBRIGHEIM,PWR,Permanent Shutdown,1971,2257.2,6735.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=121
4,GERMANY,OBRIGHEIM,PWR,Permanent Shutdown,1972,2402.2,7034.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=121
5,GERMANY,OBRIGHEIM,PWR,Permanent Shutdown,1973,2500.1,7870.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=121
6,GERMANY,OBRIGHEIM,PWR,Permanent Shutdown,1974,2435.8,8068.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=121
7,GERMANY,OBRIGHEIM,PWR,Permanent Shutdown,1975,2588.3,8017.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=121
8,GERMANY,OBRIGHEIM,PWR,Permanent Shutdown,1976,2219.2,7088.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=121
9,GERMANY,OBRIGHEIM,PWR,Permanent Shutdown,1977,2144.6,6744.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=121
10,GERMANY,OBRIGHEIM,PWR,Permanent Shutdown,1978,2220.1,6863.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=121
11,GERMANY,OBRIGHEIM,PWR,Permanent Shutdown,1979,2372.0,7491.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=121
12,GERMANY,OBRIGHEIM,PWR,Permanent Shutdown,1980,2126.0,6689.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=121
13,GERMANY,OBRIGHEIM,PWR,Permanent Shutdown,1981,2402.0,7649.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=121
14,GERMANY,OBRIGHEIM,PWR,Permanent Shutdown,1982,2407.4,7534.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=121
15,GERMANY,OBRIGHEIM,PWR,Permanent Shutdown,1983,1951.0,6051.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=121
