,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,OCONEE-2,PWR,Operational,1973,152.3,526.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=625
1,UNITED STATES OF AMERICA,OCONEE-2,PWR,Operational,1974,2115.5,2786.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=625
2,UNITED STATES OF AMERICA,OCONEE-2,PWR,Operational,1975,4970.6,6398.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=625
3,UNITED STATES OF AMERICA,OCONEE-2,PWR,Operational,1976,4232.6,5483.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=625
4,UNITED STATES OF AMERICA,OCONEE-2,PWR,Operational,1977,3830.0,5315.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=625
5,UNITED STATES OF AMERICA,OCONEE-2,PWR,Operational,1978,4786.2,6155.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=625
6,UNITED STATES OF AMERICA,OCONEE-2,PWR,Operational,1979,5968.2,7532.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=625
7,UNITED STATES OF AMERICA,OCONEE-2,PWR,Operational,1980,3882.0,5397.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=625
8,UNITED STATES OF AMERICA,OCONEE-2,PWR,Operational,1981,5198.9,7050.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=625
9,UNITED STATES OF AMERICA,OCONEE-2,PWR,Operational,1982,3447.7,4580.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=625
10,UNITED STATES OF AMERICA,OCONEE-2,PWR,Operational,1983,5147.0,6348.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=625
11,UNITED STATES OF AMERICA,OCONEE-2,PWR,Operational,1984,7297.96,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=625
12,UNITED STATES OF AMERICA,OCONEE-2,PWR,Operational,1985,5059.95,6654.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=625
13,UNITED STATES OF AMERICA,OCONEE-2,PWR,Operational,1986,5803.1,7169.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=625
