,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,JAPAN,OHI-2,PWR,Permanent Shutdown,1978,347.5,845.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
1,JAPAN,OHI-2,PWR,Permanent Shutdown,1979,3940.2,4043.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
2,JAPAN,OHI-2,PWR,Permanent Shutdown,1980,5466.4,4976.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
3,JAPAN,OHI-2,PWR,Permanent Shutdown,1981,5031.7,4668.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
4,JAPAN,OHI-2,PWR,Permanent Shutdown,1982,8648.6,7877.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
5,JAPAN,OHI-2,PWR,Permanent Shutdown,1983,7443.8,6670.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
6,JAPAN,OHI-2,PWR,Permanent Shutdown,1984,5793.48,5208.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
7,JAPAN,OHI-2,PWR,Permanent Shutdown,1985,6842.96,6260.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
8,JAPAN,OHI-2,PWR,Permanent Shutdown,1986,9858.92,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
9,JAPAN,OHI-2,PWR,Permanent Shutdown,1987,6238.14,5789.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
10,JAPAN,OHI-2,PWR,Permanent Shutdown,1988,6112.27,5525.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
11,JAPAN,OHI-2,PWR,Permanent Shutdown,1989,9828.02,8707.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
12,JAPAN,OHI-2,PWR,Permanent Shutdown,1990,6685.67,6069.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
13,JAPAN,OHI-2,PWR,Permanent Shutdown,1991,6409.49,5903.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
14,JAPAN,OHI-2,PWR,Permanent Shutdown,1992,6973.26,6178.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
15,JAPAN,OHI-2,PWR,Permanent Shutdown,1993,8863.88,7903.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
16,JAPAN,OHI-2,PWR,Permanent Shutdown,1994,6679.98,5929.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
17,JAPAN,OHI-2,PWR,Permanent Shutdown,1995,3273.53,3060.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
18,JAPAN,OHI-2,PWR,Permanent Shutdown,1996,9738.16,8662.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
19,JAPAN,OHI-2,PWR,Permanent Shutdown,1997,5316.54,4753.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
20,JAPAN,OHI-2,PWR,Permanent Shutdown,1998,6501.26,5760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
21,JAPAN,OHI-2,PWR,Permanent Shutdown,1999,4511.08,3994.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
22,JAPAN,OHI-2,PWR,Permanent Shutdown,2000,7796.83,6987.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
23,JAPAN,OHI-2,PWR,Permanent Shutdown,2001,7163.52,6302.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
24,JAPAN,OHI-2,PWR,Permanent Shutdown,2002,8265.61,7326.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
25,JAPAN,OHI-2,PWR,Permanent Shutdown,2003,10075.59,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
26,JAPAN,OHI-2,PWR,Permanent Shutdown,2004,8408.28,7324.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
27,JAPAN,OHI-2,PWR,Permanent Shutdown,2005,6970.44,6139.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
28,JAPAN,OHI-2,PWR,Permanent Shutdown,2006,7003.67,6085.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
29,JAPAN,OHI-2,PWR,Permanent Shutdown,2007,7759.9,6768.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
30,JAPAN,OHI-2,PWR,Permanent Shutdown,2008,10041.52,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
31,JAPAN,OHI-2,PWR,Permanent Shutdown,2009,5960.71,5201.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
32,JAPAN,OHI-2,PWR,Permanent Shutdown,2010,5483.8,4803.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
33,JAPAN,OHI-2,PWR,Permanent Shutdown,2011,9684.13,8392.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
34,JAPAN,OHI-2,PWR,Permanent Shutdown,2012,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
35,JAPAN,OHI-2,PWR,Permanent Shutdown,2013,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=343
