,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
3,UNITED KINGDOM,OLDBURY A-1,GCR,Permanent Shutdown,1970,1273.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=237
4,UNITED KINGDOM,OLDBURY A-1,GCR,Permanent Shutdown,1971,1560.45,8759.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=237
5,UNITED KINGDOM,OLDBURY A-1,GCR,Permanent Shutdown,1972,1436.45,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=237
6,UNITED KINGDOM,OLDBURY A-1,GCR,Permanent Shutdown,1973,1265.2,8704.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=237
7,UNITED KINGDOM,OLDBURY A-1,GCR,Permanent Shutdown,1974,1355.0,8731.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=237
8,UNITED KINGDOM,OLDBURY A-1,GCR,Permanent Shutdown,1975,1436.5,8693.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=237
9,UNITED KINGDOM,OLDBURY A-1,GCR,Permanent Shutdown,1976,1508.5,8714.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=237
10,UNITED KINGDOM,OLDBURY A-1,GCR,Permanent Shutdown,1977,1555.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=237
11,UNITED KINGDOM,OLDBURY A-1,GCR,Permanent Shutdown,1978,1533.5,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=237
12,UNITED KINGDOM,OLDBURY A-1,GCR,Permanent Shutdown,1979,1592.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=237
13,UNITED KINGDOM,OLDBURY A-1,GCR,Permanent Shutdown,1980,1648.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=237
14,UNITED KINGDOM,OLDBURY A-1,GCR,Permanent Shutdown,1981,1688.0,8904.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=237
15,UNITED KINGDOM,OLDBURY A-1,GCR,Permanent Shutdown,1982,1717.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=237
