,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FINLAND,OLKILUOTO-2,BWR,Operational,1980,672.6,1266.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
1,FINLAND,OLKILUOTO-2,BWR,Operational,1981,3436.4,5628.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
2,FINLAND,OLKILUOTO-2,BWR,Operational,1982,4587.1,7269.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
3,FINLAND,OLKILUOTO-2,BWR,Operational,1983,5087.2,8221.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
4,FINLAND,OLKILUOTO-2,BWR,Operational,1984,5341.3,8031.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
5,FINLAND,OLKILUOTO-2,BWR,Operational,1985,5415.79,7912.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
6,FINLAND,OLKILUOTO-2,BWR,Operational,1986,5840.21,8437.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
7,FINLAND,OLKILUOTO-2,BWR,Operational,1987,5725.03,8379.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
8,FINLAND,OLKILUOTO-2,BWR,Operational,1988,5713.2,8220.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
9,FINLAND,OLKILUOTO-2,BWR,Operational,1989,5827.02,8363.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
10,FINLAND,OLKILUOTO-2,BWR,Operational,1990,5749.87,8265.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
11,FINLAND,OLKILUOTO-2,BWR,Operational,1991,5730.95,8216.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
12,FINLAND,OLKILUOTO-2,BWR,Operational,1992,5790.44,8306.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
13,FINLAND,OLKILUOTO-2,BWR,Operational,1993,5861.56,8327.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
14,FINLAND,OLKILUOTO-2,BWR,Operational,1994,5732.63,8130.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
15,FINLAND,OLKILUOTO-2,BWR,Operational,1995,5747.24,8236.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
16,FINLAND,OLKILUOTO-2,BWR,Operational,1996,5915.41,8413.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
17,FINLAND,OLKILUOTO-2,BWR,Operational,1997,6077.04,8258.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
18,FINLAND,OLKILUOTO-2,BWR,Operational,1998,6628.46,8207.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
19,FINLAND,OLKILUOTO-2,BWR,Operational,1999,7091.21,8505.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
20,FINLAND,OLKILUOTO-2,BWR,Operational,2000,7028.9,8457.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
21,FINLAND,OLKILUOTO-2,BWR,Operational,2001,6988.0,8387.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
22,FINLAND,OLKILUOTO-2,BWR,Operational,2002,7108.51,8472.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
23,FINLAND,OLKILUOTO-2,BWR,Operational,2003,7026.86,8378.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=160
