,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,JAPAN,ONAGAWA-2,BWR,Operational,1994,15.25,123.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=382
1,JAPAN,ONAGAWA-2,BWR,Operational,1995,4496.61,6510.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=382
2,JAPAN,ONAGAWA-2,BWR,Operational,1996,5175.27,6545.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=382
3,JAPAN,ONAGAWA-2,BWR,Operational,1997,6931.6,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=382
4,JAPAN,ONAGAWA-2,BWR,Operational,1998,5647.72,7185.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=382
5,JAPAN,ONAGAWA-2,BWR,Operational,1999,5841.19,7383.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=382
6,JAPAN,ONAGAWA-2,BWR,Operational,2000,5858.59,7402.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=382
7,JAPAN,ONAGAWA-2,BWR,Operational,2001,6521.16,8238.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=382
8,JAPAN,ONAGAWA-2,BWR,Operational,2002,5242.91,6368.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=382
9,JAPAN,ONAGAWA-2,BWR,Operational,2003,3272.36,4139.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=382
10,JAPAN,ONAGAWA-2,BWR,Operational,2004,7040.38,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=382
11,JAPAN,ONAGAWA-2,BWR,Operational,2005,1877.27,2367.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=382
12,JAPAN,ONAGAWA-2,BWR,Operational,2006,2484.73,3188.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=382
13,JAPAN,ONAGAWA-2,BWR,Operational,2007,5184.62,6491.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=382
14,JAPAN,ONAGAWA-2,BWR,Operational,2008,6453.43,8086.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=382
15,JAPAN,ONAGAWA-2,BWR,Operational,2009,3430.26,4330.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=382
16,JAPAN,ONAGAWA-2,BWR,Operational,2010,5905.54,7417.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=382
30,JAPAN,ONAGAWA-2,BWR,Operational,2024,568.48,792.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=382
