,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,SWEDEN,OSKARSHAMN-3,BWR,Operational,1985,3848.48,4706.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
1,SWEDEN,OSKARSHAMN-3,BWR,Operational,1986,8386.93,8111.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
2,SWEDEN,OSKARSHAMN-3,BWR,Operational,1987,7057.96,7988.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
3,SWEDEN,OSKARSHAMN-3,BWR,Operational,1988,7311.93,7457.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
4,SWEDEN,OSKARSHAMN-3,BWR,Operational,1989,7788.21,8241.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
5,SWEDEN,OSKARSHAMN-3,BWR,Operational,1990,7640.22,7781.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
6,SWEDEN,OSKARSHAMN-3,BWR,Operational,1991,8935.78,8183.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
7,SWEDEN,OSKARSHAMN-3,BWR,Operational,1992,8270.64,7903.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
8,SWEDEN,OSKARSHAMN-3,BWR,Operational,1993,8339.49,8026.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
9,SWEDEN,OSKARSHAMN-3,BWR,Operational,1994,8480.44,7878.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
10,SWEDEN,OSKARSHAMN-3,BWR,Operational,1995,8828.15,7957.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
11,SWEDEN,OSKARSHAMN-3,BWR,Operational,1996,8518.4,7543.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
12,SWEDEN,OSKARSHAMN-3,BWR,Operational,1997,8970.42,8042.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
13,SWEDEN,OSKARSHAMN-3,BWR,Operational,1998,8032.25,7914.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
14,SWEDEN,OSKARSHAMN-3,BWR,Operational,1999,8516.73,7850.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
15,SWEDEN,OSKARSHAMN-3,BWR,Operational,2000,7219.13,8075.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
16,SWEDEN,OSKARSHAMN-3,BWR,Operational,2001,9051.96,8170.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
17,SWEDEN,OSKARSHAMN-3,BWR,Operational,2002,8883.98,8140.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
18,SWEDEN,OSKARSHAMN-3,BWR,Operational,2003,7678.01,6871.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
19,SWEDEN,OSKARSHAMN-3,BWR,Operational,2004,9318.51,8236.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
20,SWEDEN,OSKARSHAMN-3,BWR,Operational,2005,8573.43,7671.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
21,SWEDEN,OSKARSHAMN-3,BWR,Operational,2006,9522.49,8467.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
22,SWEDEN,OSKARSHAMN-3,BWR,Operational,2007,8829.23,7965.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
23,SWEDEN,OSKARSHAMN-3,BWR,Operational,2008,7100.89,6424.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
24,SWEDEN,OSKARSHAMN-3,BWR,Operational,2009,1684.68,1795.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
25,SWEDEN,OSKARSHAMN-3,BWR,Operational,2010,3841.75,4783.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
26,SWEDEN,OSKARSHAMN-3,BWR,Operational,2011,8337.26,7313.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
27,SWEDEN,OSKARSHAMN-3,BWR,Operational,2012,8438.86,6571.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
28,SWEDEN,OSKARSHAMN-3,BWR,Operational,2013,9439.44,7186.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
29,SWEDEN,OSKARSHAMN-3,BWR,Operational,2014,9215.46,7083.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
30,SWEDEN,OSKARSHAMN-3,BWR,Operational,2015,9668.25,7480.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
31,SWEDEN,OSKARSHAMN-3,BWR,Operational,2016,10265.41,7736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
32,SWEDEN,OSKARSHAMN-3,BWR,Operational,2017,9387.81,6996.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
33,SWEDEN,OSKARSHAMN-3,BWR,Operational,2018,10688.89,7913.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
34,SWEDEN,OSKARSHAMN-3,BWR,Operational,2019,10976.04,8135.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
35,SWEDEN,OSKARSHAMN-3,BWR,Operational,2020,7988.94,6081.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
36,SWEDEN,OSKARSHAMN-3,BWR,Operational,2021,10989.44,8118.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
37,SWEDEN,OSKARSHAMN-3,BWR,Operational,2022,10414.56,7785.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
38,SWEDEN,OSKARSHAMN-3,BWR,Operational,2023,9177.85,7089.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
39,SWEDEN,OSKARSHAMN-3,BWR,Operational,2024,10767.64,8033.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=531
