,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1970,3591.0,6788.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
2,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1971,3972.6,7046.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
3,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1972,4503.8,7137.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
4,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1973,3589.0,6401.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
5,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1974,3679.6,6163.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
6,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1975,3148.7,6414.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
7,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1976,3860.1,6966.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
8,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1977,3249.2,6136.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
9,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1978,3645.7,6508.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
10,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1979,4563.3,7520.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
11,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1980,1957.3,3662.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
12,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1981,2628.9,5237.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
13,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1982,2013.0,5474.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
14,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1983,225.5,1007.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
15,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1984,305.19,842.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
16,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1985,3746.03,6518.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
17,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1986,1317.69,2310.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
18,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1987,3113.39,5421.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
19,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1988,3547.3,5749.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
20,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1989,2410.11,4686.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
21,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1990,4305.05,7678.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
22,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1991,2954.84,5167.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
23,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1992,4531.84,7463.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
24,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1993,4667.48,7654.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
25,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1994,3633.28,6096.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
26,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1995,5194.08,8511.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
27,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1996,4339.4,7104.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
28,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1997,5073.28,8164.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
29,UNITED STATES OF AMERICA,OYSTER CREEK,BWR,Permanent Shutdown,1998,4302.23,7094.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=606
