,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,HUNGARY,PAKS-2,PWR,Operational,1984,921.75,2659.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
1,HUNGARY,PAKS-2,PWR,Operational,1985,3101.62,7695.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
2,HUNGARY,PAKS-2,PWR,Operational,1986,3148.27,7643.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
3,HUNGARY,PAKS-2,PWR,Operational,1987,3193.95,7770.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
4,HUNGARY,PAKS-2,PWR,Operational,1988,3046.3,7352.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
5,HUNGARY,PAKS-2,PWR,Operational,1989,3300.66,7962.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
6,HUNGARY,PAKS-2,PWR,Operational,1990,3338.22,7845.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
7,HUNGARY,PAKS-2,PWR,Operational,1991,3421.6,7912.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
8,HUNGARY,PAKS-2,PWR,Operational,1992,3174.93,6829.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
9,HUNGARY,PAKS-2,PWR,Operational,1993,3568.98,7731.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
10,HUNGARY,PAKS-2,PWR,Operational,1994,3440.38,8000.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
11,HUNGARY,PAKS-2,PWR,Operational,1995,3309.08,7657.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
12,HUNGARY,PAKS-2,PWR,Operational,1996,3019.89,7011.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
13,HUNGARY,PAKS-2,PWR,Operational,1997,3267.61,7807.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
14,HUNGARY,PAKS-2,PWR,Operational,1998,3206.72,7717.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
15,HUNGARY,PAKS-2,PWR,Operational,1999,3246.62,7780.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
16,HUNGARY,PAKS-2,PWR,Operational,2000,3059.33,7073.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
17,HUNGARY,PAKS-2,PWR,Operational,2001,3266.89,7484.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
18,HUNGARY,PAKS-2,PWR,Operational,2002,3338.46,7644.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
19,HUNGARY,PAKS-2,PWR,Operational,2003,918.84,2089.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
20,HUNGARY,PAKS-2,PWR,Operational,2004,1137.22,2620.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
21,HUNGARY,PAKS-2,PWR,Operational,2005,2929.48,6669.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
22,HUNGARY,PAKS-2,PWR,Operational,2006,2399.56,5493.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
23,HUNGARY,PAKS-2,PWR,Operational,2007,3477.05,7887.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
24,HUNGARY,PAKS-2,PWR,Operational,2008,2993.79,6669.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
25,HUNGARY,PAKS-2,PWR,Operational,2009,3772.51,7985.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
26,HUNGARY,PAKS-2,PWR,Operational,2010,3715.76,7892.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
27,HUNGARY,PAKS-2,PWR,Operational,2011,3770.49,7978.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
28,HUNGARY,PAKS-2,PWR,Operational,2012,3521.36,7456.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
29,HUNGARY,PAKS-2,PWR,Operational,2013,3794.73,7905.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
30,HUNGARY,PAKS-2,PWR,Operational,2014,3903.0,8127.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
31,HUNGARY,PAKS-2,PWR,Operational,2015,3889.01,8118.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
32,HUNGARY,PAKS-2,PWR,Operational,2016,3375.14,7132.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
33,HUNGARY,PAKS-2,PWR,Operational,2017,4178.74,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
34,HUNGARY,PAKS-2,PWR,Operational,2018,3670.36,7798.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
35,HUNGARY,PAKS-2,PWR,Operational,2019,3872.2,8127.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
36,HUNGARY,PAKS-2,PWR,Operational,2020,3819.36,8175.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
37,HUNGARY,PAKS-2,PWR,Operational,2021,3375.4,7175.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
38,HUNGARY,PAKS-2,PWR,Operational,2022,4074.98,8504.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
39,HUNGARY,PAKS-2,PWR,Operational,2023,3863.62,8170.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
40,HUNGARY,PAKS-2,PWR,Operational,2024,3857.1,8164.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=279
