,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1972,1899.1,4990.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
2,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1973,2411.3,3829.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
3,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1974,93.3,317.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
4,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1975,2427.8,5649.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
5,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1976,2846.9,4847.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
6,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1977,5084.6,8004.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
7,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1978,2624.2,4346.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
8,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1979,3433.4,5241.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
9,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1980,2379.1,3764.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
10,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1981,3462.7,5009.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
11,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1982,3345.0,4788.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
12,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1983,3770.0,5282.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
13,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1984,811.55,1334.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
14,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1985,5301.8,7342.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
15,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1986,841.24,1323.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
16,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1987,2634.43,3980.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
17,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1988,3435.22,4853.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
18,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1989,3637.78,6019.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
19,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1990,3008.09,5073.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
20,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1991,4873.84,6693.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
21,UNITED STATES OF AMERICA,PALISADES,PWR,Permanent Shutdown,1992,4865.07,6293.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=616
