,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,1985,1127.65,2019.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
1,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,1986,6264.75,5349.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
2,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,1987,5268.27,4500.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
3,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,1988,6668.69,5585.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
4,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,1989,1796.57,1522.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
5,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,1990,4719.46,3925.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
6,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,1991,9312.14,7567.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
7,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,1992,7118.8,6010.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
8,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,1993,7514.76,6665.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
9,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,1994,9772.54,8656.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
10,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,1995,8526.82,7244.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
11,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,1996,8713.0,7246.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
12,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,1997,10737.71,8658.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
13,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,1998,9575.01,7819.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
14,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,1999,9653.94,7774.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
15,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,2000,10966.6,8770.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
16,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,2001,9559.58,7712.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
17,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,2002,9705.03,7890.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
18,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,2003,10587.11,8604.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
19,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,2004,9235.8,7669.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
20,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,2005,7212.3,6194.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
21,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,2006,4868.23,5292.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
22,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,2007,8844.9,6834.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
23,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,2008,9953.15,7616.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
24,UNITED STATES OF AMERICA,PALO VERDE-1,PWR,Operational,2009,11589.72,8707.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=789
