,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,PALUEL-2,PWR,Operational,1984,1000.0,1785.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
1,FRANCE,PALUEL-2,PWR,Operational,1985,5997.8,5548.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
2,FRANCE,PALUEL-2,PWR,Operational,1986,6040.9,4804.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
3,FRANCE,PALUEL-2,PWR,Operational,1987,8859.6,6837.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
4,FRANCE,PALUEL-2,PWR,Operational,1988,7725.0,6017.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
5,FRANCE,PALUEL-2,PWR,Operational,1989,8956.44,7358.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
6,FRANCE,PALUEL-2,PWR,Operational,1990,6496.27,5328.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
7,FRANCE,PALUEL-2,PWR,Operational,1991,6140.31,4996.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
8,FRANCE,PALUEL-2,PWR,Operational,1992,6906.92,5618.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
9,FRANCE,PALUEL-2,PWR,Operational,1993,7954.42,7217.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
10,FRANCE,PALUEL-2,PWR,Operational,1994,7115.24,6671.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
11,FRANCE,PALUEL-2,PWR,Operational,1995,6934.5,6252.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
12,FRANCE,PALUEL-2,PWR,Operational,1996,8407.42,7195.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
13,FRANCE,PALUEL-2,PWR,Operational,1997,8139.8,7182.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
14,FRANCE,PALUEL-2,PWR,Operational,1998,7300.4,6583.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
15,FRANCE,PALUEL-2,PWR,Operational,1999,9243.77,7705.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
16,FRANCE,PALUEL-2,PWR,Operational,2000,9849.89,8271.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
17,FRANCE,PALUEL-2,PWR,Operational,2001,7843.13,6861.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
18,FRANCE,PALUEL-2,PWR,Operational,2002,7984.37,6569.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
19,FRANCE,PALUEL-2,PWR,Operational,2003,8814.93,7490.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=192
