,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1974,1095.3,1902.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
1,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1975,5282.4,7520.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
2,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1976,6056.8,6829.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
3,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1977,4787.8,5450.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
4,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1978,6973.6,7412.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
5,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1979,6110.4,6500.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
6,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1980,7233.4,7089.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
7,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1981,3171.1,3201.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
8,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1982,8532.3,8372.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
9,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1983,2465.7,2714.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
10,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1984,7445.52,7545.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
11,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1985,3320.84,3988.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
12,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1986,4858.84,5542.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
13,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1987,1507.72,1658.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
14,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1988,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
15,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1989,247.31,472.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
16,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1990,7534.1,7684.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
17,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1991,5118.92,5212.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
18,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1992,7180.95,7391.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
19,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1993,6314.03,6594.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
20,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1994,8867.35,8588.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
21,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1995,7172.49,7929.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
22,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1996,9424.69,8627.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
23,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1997,7566.58,7909.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
24,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1998,8823.63,8172.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
25,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,1999,8558.61,8100.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
26,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,2000,9556.78,8722.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
27,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,2001,8524.44,8153.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
28,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,2002,9647.38,8740.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
29,UNITED STATES OF AMERICA,PEACH BOTTOM-3,BWR,Operational,2003,8937.81,8089.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=630
