,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,PENLY-1,PWR,Operational,1990,2887.12,3100.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
1,FRANCE,PENLY-1,PWR,Operational,1991,8436.71,6645.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
2,FRANCE,PENLY-1,PWR,Operational,1992,7922.21,6315.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
3,FRANCE,PENLY-1,PWR,Operational,1993,8023.87,7298.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
4,FRANCE,PENLY-1,PWR,Operational,1994,7969.13,6654.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
5,FRANCE,PENLY-1,PWR,Operational,1995,8879.06,7248.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
6,FRANCE,PENLY-1,PWR,Operational,1996,9530.76,7625.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
7,FRANCE,PENLY-1,PWR,Operational,1997,8503.41,6872.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
8,FRANCE,PENLY-1,PWR,Operational,1998,9965.66,8140.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
9,FRANCE,PENLY-1,PWR,Operational,1999,7998.46,6633.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
10,FRANCE,PENLY-1,PWR,Operational,2000,8271.73,6640.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
11,FRANCE,PENLY-1,PWR,Operational,2001,9825.84,8304.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
12,FRANCE,PENLY-1,PWR,Operational,2002,7146.66,5948.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
13,FRANCE,PENLY-1,PWR,Operational,2003,9290.83,7525.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
14,FRANCE,PENLY-1,PWR,Operational,2004,10500.23,8733.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
15,FRANCE,PENLY-1,PWR,Operational,2005,8491.26,7104.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
16,FRANCE,PENLY-1,PWR,Operational,2006,9533.15,7656.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
17,FRANCE,PENLY-1,PWR,Operational,2007,9243.57,7356.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
18,FRANCE,PENLY-1,PWR,Operational,2008,10743.35,8424.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
19,FRANCE,PENLY-1,PWR,Operational,2009,8878.54,7217.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
20,FRANCE,PENLY-1,PWR,Operational,2010,6627.27,5280.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
21,FRANCE,PENLY-1,PWR,Operational,2011,7976.85,6332.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
22,FRANCE,PENLY-1,PWR,Operational,2012,10476.99,8525.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
23,FRANCE,PENLY-1,PWR,Operational,2013,9001.96,7536.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
24,FRANCE,PENLY-1,PWR,Operational,2014,8406.7,6939.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
25,FRANCE,PENLY-1,PWR,Operational,2015,10162.55,8623.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
26,FRANCE,PENLY-1,PWR,Operational,2016,9489.07,7812.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
27,FRANCE,PENLY-1,PWR,Operational,2017,7829.2,6376.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
28,FRANCE,PENLY-1,PWR,Operational,2018,8796.74,7044.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
29,FRANCE,PENLY-1,PWR,Operational,2019,10462.26,8383.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
30,FRANCE,PENLY-1,PWR,Operational,2020,6249.27,5120.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
31,FRANCE,PENLY-1,PWR,Operational,2021,8310.67,6387.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
32,FRANCE,PENLY-1,PWR,Operational,2022,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
33,FRANCE,PENLY-1,PWR,Operational,2023,4916.24,3978.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
34,FRANCE,PENLY-1,PWR,Operational,2024,7966.36,6258.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=221
