,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
2,UNITED STATES OF AMERICA,PERRY-1,BWR,Operational,1988,7233.82,6664.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=725
3,UNITED STATES OF AMERICA,PERRY-1,BWR,Operational,1989,5357.58,4776.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=725
4,UNITED STATES OF AMERICA,PERRY-1,BWR,Operational,1990,6638.89,5723.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=725
5,UNITED STATES OF AMERICA,PERRY-1,BWR,Operational,1991,8975.67,7949.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=725
6,UNITED STATES OF AMERICA,PERRY-1,BWR,Operational,1992,7168.56,6383.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=725
7,UNITED STATES OF AMERICA,PERRY-1,BWR,Operational,1993,3973.21,3853.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=725
8,UNITED STATES OF AMERICA,PERRY-1,BWR,Operational,1994,4591.9,4151.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=725
9,UNITED STATES OF AMERICA,PERRY-1,BWR,Operational,1995,9112.12,8174.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=725
10,UNITED STATES OF AMERICA,PERRY-1,BWR,Operational,1996,7481.95,6673.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=725
11,UNITED STATES OF AMERICA,PERRY-1,BWR,Operational,1997,8151.83,7178.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=725
12,UNITED STATES OF AMERICA,PERRY-1,BWR,Operational,1998,10188.94,8684.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=725
13,UNITED STATES OF AMERICA,PERRY-1,BWR,Operational,1999,9124.91,7850.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=725
14,UNITED STATES OF AMERICA,PERRY-1,BWR,Operational,2000,10085.68,8506.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=725
