,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,FRANCE,PHENIX,FBR,Permanent Shutdown,1974,958.0,4716.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
2,FRANCE,PHENIX,FBR,Permanent Shutdown,1975,1308.4,5932.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
3,FRANCE,PHENIX,FBR,Permanent Shutdown,1976,950.8,4799.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
4,FRANCE,PHENIX,FBR,Permanent Shutdown,1977,300.8,2120.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
5,FRANCE,PHENIX,FBR,Permanent Shutdown,1978,1238.8,5905.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
6,FRANCE,PHENIX,FBR,Permanent Shutdown,1979,1719.0,7350.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
7,FRANCE,PHENIX,FBR,Permanent Shutdown,1980,1319.0,5679.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
8,FRANCE,PHENIX,FBR,Permanent Shutdown,1981,1421.9,6217.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
9,FRANCE,PHENIX,FBR,Permanent Shutdown,1982,989.1,5429.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
10,FRANCE,PHENIX,FBR,Permanent Shutdown,1983,1122.0,5515.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
11,FRANCE,PHENIX,FBR,Permanent Shutdown,1984,1414.0,6206.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
12,FRANCE,PHENIX,FBR,Permanent Shutdown,1985,1153.0,6784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
13,FRANCE,PHENIX,FBR,Permanent Shutdown,1986,1519.1,6996.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
14,FRANCE,PHENIX,FBR,Permanent Shutdown,1987,1556.4,7059.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
15,FRANCE,PHENIX,FBR,Permanent Shutdown,1988,1475.4,6300.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
16,FRANCE,PHENIX,FBR,Permanent Shutdown,1989,601.18,2678.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
17,FRANCE,PHENIX,FBR,Permanent Shutdown,1990,982.46,4637.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
18,FRANCE,PHENIX,FBR,Permanent Shutdown,1991,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
19,FRANCE,PHENIX,FBR,Permanent Shutdown,1992,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
20,FRANCE,PHENIX,FBR,Permanent Shutdown,1993,34.79,286.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
21,FRANCE,PHENIX,FBR,Permanent Shutdown,1994,22.6,184.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
23,FRANCE,PHENIX,FBR,Permanent Shutdown,1996,2.71,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
24,FRANCE,PHENIX,FBR,Permanent Shutdown,1997,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
25,FRANCE,PHENIX,FBR,Permanent Shutdown,1998,382.18,3019.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
26,FRANCE,PHENIX,FBR,Permanent Shutdown,1999,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
27,FRANCE,PHENIX,FBR,Permanent Shutdown,2000,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
28,FRANCE,PHENIX,FBR,Permanent Shutdown,2001,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
29,FRANCE,PHENIX,FBR,Permanent Shutdown,2002,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
30,FRANCE,PHENIX,FBR,Permanent Shutdown,2003,61.82,711.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
31,FRANCE,PHENIX,FBR,Permanent Shutdown,2004,626.91,4888.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
32,FRANCE,PHENIX,FBR,Permanent Shutdown,2005,804.53,6341.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
33,FRANCE,PHENIX,FBR,Permanent Shutdown,2006,591.0,4601.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
34,FRANCE,PHENIX,FBR,Permanent Shutdown,2007,565.14,4452.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
35,FRANCE,PHENIX,FBR,Permanent Shutdown,2008,664.62,5312.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
36,FRANCE,PHENIX,FBR,Permanent Shutdown,2009,245.99,1999.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
37,FRANCE,PHENIX,FBR,Permanent Shutdown,2010,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=162
