,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,GERMANY,PHILIPPSBURG-2,PWR,Permanent Shutdown,1984,26.0,110.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=98
1,GERMANY,PHILIPPSBURG-2,PWR,Permanent Shutdown,1985,9359.82,7896.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=98
2,GERMANY,PHILIPPSBURG-2,PWR,Permanent Shutdown,1986,10235.29,7958.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=98
3,GERMANY,PHILIPPSBURG-2,PWR,Permanent Shutdown,1987,9616.23,7446.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=98
4,GERMANY,PHILIPPSBURG-2,PWR,Permanent Shutdown,1988,9710.85,7656.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=98
5,GERMANY,PHILIPPSBURG-2,PWR,Permanent Shutdown,1989,9677.25,7575.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=98
6,GERMANY,PHILIPPSBURG-2,PWR,Permanent Shutdown,1990,8516.34,6628.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=98
7,GERMANY,PHILIPPSBURG-2,PWR,Permanent Shutdown,1991,9903.33,7757.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=98
8,GERMANY,PHILIPPSBURG-2,PWR,Permanent Shutdown,1992,9399.95,7273.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=98
9,GERMANY,PHILIPPSBURG-2,PWR,Permanent Shutdown,1993,10481.33,7946.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=98
10,GERMANY,PHILIPPSBURG-2,PWR,Permanent Shutdown,1994,10284.77,7778.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=98
11,GERMANY,PHILIPPSBURG-2,PWR,Permanent Shutdown,1995,10550.55,7990.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=98
12,GERMANY,PHILIPPSBURG-2,PWR,Permanent Shutdown,1996,11217.64,8323.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=98
13,GERMANY,PHILIPPSBURG-2,PWR,Permanent Shutdown,1997,11113.5,8358.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=98
14,GERMANY,PHILIPPSBURG-2,PWR,Permanent Shutdown,1998,10731.47,8304.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=98
15,GERMANY,PHILIPPSBURG-2,PWR,Permanent Shutdown,1999,11122.95,8431.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=98
