,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,CANADA,PICKERING-7,PHWR,Operational,1984,312.7,861.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
1,CANADA,PICKERING-7,PHWR,Operational,1985,4093.95,8277.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
2,CANADA,PICKERING-7,PHWR,Operational,1986,3373.3,7002.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
3,CANADA,PICKERING-7,PHWR,Operational,1987,4339.89,8642.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
4,CANADA,PICKERING-7,PHWR,Operational,1988,4340.42,8519.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
5,CANADA,PICKERING-7,PHWR,Operational,1989,3408.69,6939.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
6,CANADA,PICKERING-7,PHWR,Operational,1990,3500.8,7420.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
7,CANADA,PICKERING-7,PHWR,Operational,1991,4258.77,8436.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
8,CANADA,PICKERING-7,PHWR,Operational,1992,3727.45,7349.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
9,CANADA,PICKERING-7,PHWR,Operational,1993,4415.95,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
10,CANADA,PICKERING-7,PHWR,Operational,1994,3709.91,7386.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
11,CANADA,PICKERING-7,PHWR,Operational,1995,4056.79,8140.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
12,CANADA,PICKERING-7,PHWR,Operational,1996,2050.69,4416.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
13,CANADA,PICKERING-7,PHWR,Operational,1997,2936.16,6208.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
14,CANADA,PICKERING-7,PHWR,Operational,1998,3084.73,6495.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
15,CANADA,PICKERING-7,PHWR,Operational,1999,4433.82,8751.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
16,CANADA,PICKERING-7,PHWR,Operational,2000,2099.0,4445.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
17,CANADA,PICKERING-7,PHWR,Operational,2001,4020.78,7968.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
18,CANADA,PICKERING-7,PHWR,Operational,2002,4246.89,8538.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=35
