,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1972,889.2,1875.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
1,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1973,4074.2,7574.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
2,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1974,1973.1,3435.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
3,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1975,2587.3,6239.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
4,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1976,2415.5,5330.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
5,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1977,2652.2,5379.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
6,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1978,4376.7,7276.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
7,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1979,4844.6,7828.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
8,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1980,3044.1,4952.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
9,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1981,3444.1,5767.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
10,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1982,3287.1,5597.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
11,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1983,4711.9,7640.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
12,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1984,3.52,34.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
13,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1985,4950.97,8013.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
14,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1986,1027.53,1646.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
15,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1987,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
16,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1988,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
17,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1989,1707.76,4919.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
18,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1990,4243.22,6784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
19,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1991,3424.54,5572.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
20,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1992,4741.97,7400.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
21,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1993,4340.78,6880.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
22,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1994,3824.08,6069.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
23,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1995,4485.85,6962.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
24,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1996,5324.34,8345.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
25,UNITED STATES OF AMERICA,PILGRIM-1,BWR,Permanent Shutdown,1997,4310.43,6840.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=639
