,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1972,225.7,2987.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
1,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1973,2991.0,8192.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
2,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1974,3179.3,7100.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
3,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1975,3741.4,8224.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
4,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1976,3749.2,7959.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
5,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1977,3622.3,7496.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
6,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1978,3858.9,8039.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
7,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1979,3707.5,7728.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
8,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1980,3587.9,7569.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
9,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1981,3720.3,7757.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
10,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1982,3605.4,7595.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
11,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1983,3016.3,6245.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
12,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1984,3512.37,7405.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
13,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1985,3603.08,7491.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
14,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1986,3417.55,7186.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
15,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1987,3606.15,7478.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
16,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1988,3718.68,7626.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
17,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1989,3485.1,7107.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
18,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1990,3793.46,7713.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
19,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1991,3689.18,7569.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
20,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1992,3668.19,7492.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
21,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1993,3844.5,7883.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
22,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1994,3752.3,7827.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
23,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1995,3385.96,7158.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
24,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1996,2950.35,6653.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
25,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1997,825.49,1788.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
26,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1998,3123.75,6609.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
27,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,1999,3578.5,7195.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
28,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2000,3527.45,7094.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
29,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2001,4342.97,8631.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
30,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2002,4004.3,7934.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
31,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2003,3713.28,7469.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
32,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2004,4384.88,8559.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
33,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2005,3232.63,6355.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
34,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2006,4094.78,7972.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
35,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2007,4462.21,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
36,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2008,4075.91,7904.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
37,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2009,3782.45,7501.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
38,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2010,4336.29,8495.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
39,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2011,3450.08,6098.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
40,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2012,4633.79,7935.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
41,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2013,5237.69,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
42,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2014,4742.28,7962.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
43,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2015,4819.9,8095.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
44,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2016,5282.17,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
45,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2017,4810.7,8113.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
46,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2018,4948.38,8267.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
47,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2019,5239.9,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
48,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2020,4942.57,8244.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
49,UNITED STATES OF AMERICA,POINT BEACH-2,PWR,Operational,2021,4754.72,8145.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=644
