,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1973,7.2,312.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
1,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1974,1452.2,3848.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
2,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1975,3694.2,7560.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
3,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1976,3268.7,6801.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
4,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1977,3714.5,7453.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
5,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1978,3810.7,8012.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
6,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1979,2910.9,6402.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
7,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1980,3105.7,6863.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
8,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1981,3838.6,7803.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
9,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1982,3918.0,7960.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
10,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1983,3888.9,7621.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
11,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1984,4159.39,8285.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
12,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1985,3678.45,7333.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
13,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1986,3819.56,7870.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
14,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1987,3590.27,7232.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
15,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1988,3823.39,7800.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
16,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1989,4392.28,8737.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
17,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1990,3829.68,7764.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
18,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1991,3987.08,7943.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
19,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1992,3497.78,6844.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
20,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1993,4377.99,8480.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
21,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1994,3718.2,7258.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
22,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1995,4519.04,8752.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
23,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1996,3741.65,7327.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
24,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1997,3522.8,6965.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
25,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1998,4209.16,7948.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
26,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,1999,4068.78,7643.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
27,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,2000,4536.51,8499.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
28,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,2001,3641.74,6890.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
29,UNITED STATES OF AMERICA,PRAIRIE ISLAND-1,PWR,Operational,2002,4373.23,8268.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=633
