,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,CHINA,QINSHAN 2-2,PWR,Operational,2004,3764.39,6381.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
1,CHINA,QINSHAN 2-2,PWR,Operational,2005,4521.51,7331.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
2,CHINA,QINSHAN 2-2,PWR,Operational,2006,4790.44,7822.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
3,CHINA,QINSHAN 2-2,PWR,Operational,2007,4817.01,7792.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
4,CHINA,QINSHAN 2-2,PWR,Operational,2008,4635.51,7545.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
5,CHINA,QINSHAN 2-2,PWR,Operational,2009,4787.8,7821.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
6,CHINA,QINSHAN 2-2,PWR,Operational,2010,4715.04,7645.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
7,CHINA,QINSHAN 2-2,PWR,Operational,2011,4960.23,8014.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
8,CHINA,QINSHAN 2-2,PWR,Operational,2012,4335.54,7072.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
9,CHINA,QINSHAN 2-2,PWR,Operational,2013,4818.51,7826.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
10,CHINA,QINSHAN 2-2,PWR,Operational,2014,4626.25,7514.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
11,CHINA,QINSHAN 2-2,PWR,Operational,2015,4872.99,7990.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
12,CHINA,QINSHAN 2-2,PWR,Operational,2016,4525.57,7377.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
13,CHINA,QINSHAN 2-2,PWR,Operational,2017,4803.39,7830.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
14,CHINA,QINSHAN 2-2,PWR,Operational,2018,5306.28,8574.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
15,CHINA,QINSHAN 2-2,PWR,Operational,2019,4735.26,7680.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
16,CHINA,QINSHAN 2-2,PWR,Operational,2020,4758.46,8156.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
17,CHINA,QINSHAN 2-2,PWR,Operational,2021,5406.39,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
18,CHINA,QINSHAN 2-2,PWR,Operational,2022,5064.37,8159.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
19,CHINA,QINSHAN 2-2,PWR,Operational,2023,5026.63,8106.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
20,CHINA,QINSHAN 2-2,PWR,Operational,2024,5477.32,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=66
