,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
2,CHINA,QINSHAN-1,PWR,Operational,1993,1740.47,6185.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
3,CHINA,QINSHAN-1,PWR,Operational,1994,1648.58,6439.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
4,CHINA,QINSHAN-1,PWR,Operational,1995,2063.9,7886.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
5,CHINA,QINSHAN-1,PWR,Operational,1996,2073.72,7479.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
6,CHINA,QINSHAN-1,PWR,Operational,1997,2011.67,7185.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
7,CHINA,QINSHAN-1,PWR,Operational,1998,1149.49,4331.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
8,CHINA,QINSHAN-1,PWR,Operational,1999,680.88,2519.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
9,CHINA,QINSHAN-1,PWR,Operational,2000,2035.48,6840.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
10,CHINA,QINSHAN-1,PWR,Operational,2001,2319.37,8370.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
11,CHINA,QINSHAN-1,PWR,Operational,2002,1783.25,5989.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
12,CHINA,QINSHAN-1,PWR,Operational,2003,2256.57,7798.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
13,CHINA,QINSHAN-1,PWR,Operational,2004,2565.24,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
14,CHINA,QINSHAN-1,PWR,Operational,2005,2194.56,7693.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
15,CHINA,QINSHAN-1,PWR,Operational,2006,2310.41,8086.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
16,CHINA,QINSHAN-1,PWR,Operational,2007,2061.43,7218.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
17,CHINA,QINSHAN-1,PWR,Operational,2008,2430.72,8434.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
18,CHINA,QINSHAN-1,PWR,Operational,2009,2195.44,7704.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
19,CHINA,QINSHAN-1,PWR,Operational,2010,2169.32,7398.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
20,CHINA,QINSHAN-1,PWR,Operational,2011,2332.64,7762.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
21,CHINA,QINSHAN-1,PWR,Operational,2012,2659.07,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
22,CHINA,QINSHAN-1,PWR,Operational,2013,2158.84,7199.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
23,CHINA,QINSHAN-1,PWR,Operational,2014,2461.14,8221.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
24,CHINA,QINSHAN-1,PWR,Operational,2015,2413.17,8003.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
25,CHINA,QINSHAN-1,PWR,Operational,2016,2418.29,8084.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
26,CHINA,QINSHAN-1,PWR,Operational,2017,2615.97,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
27,CHINA,QINSHAN-1,PWR,Operational,2018,1509.11,5147.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
28,CHINA,QINSHAN-1,PWR,Operational,2019,2447.78,7782.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
29,CHINA,QINSHAN-1,PWR,Operational,2020,2496.95,8132.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
30,CHINA,QINSHAN-1,PWR,Operational,2021,2560.13,7982.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
31,CHINA,QINSHAN-1,PWR,Operational,2022,2603.5,8161.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
32,CHINA,QINSHAN-1,PWR,Operational,2023,2659.67,8331.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
33,CHINA,QINSHAN-1,PWR,Operational,2024,2371.28,7470.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=62
